{'CALIB_RAW_DAC_START_I': 851968, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
1A092A,1A087A,1A0814
188B91,188B61,188CAF
1A0784,1A0738,1A0696
188FAE,188B55,188D83
1A0710,1A08D8,1A0699
188D0D,188BBC,188CEB
1A0760,1A0847,1A0637
188CFF,188C83,188DF9
1A0808,1A058E,1A0830
188BDF,188BBC,188BE2
1A06A3,1A06AF,1A091E
188CA1,188B54,188C6D
1A12E2,1A1440,1A154D
189DDE,189E1D,189BA3
1A1666,1A18CF,1A185A
189C68,189E69,189E2D
1A1764,1A1957,1A1778
189D57,189B48,189BCA
1A17C7,1A181D,1A16EF
189D5C,189C68,189CE7
1A1730,1A1718,1A17FD
189C04,189BA4,189A73
1A15DC,1A15FC,1A152D
189BA8,189D0F,189C6D
1A1782,1A1630,1A1661
189DE8,189AAA,189CFC
1A1454,1A1741,1A15A1
189B6D,189B58,189B90
1A16F1,1A1769,1A1656
189C71,189C9D,189AD2
1A1602,1A164D,1A16C7
189B00,189CCF,189BFF
1A1619,1A1754,1A16D8
189CCA,189B76,189C8A
1A1754,1A1481,1A16CA
189D2F,189CF6,189EB9
1A16D1,1A1814,1A1866
189DF0,189C7D,189D9D
1A1596,1A1515,1A14AE
189C6D,189A00,189AE0
1A15A9,1A16BF,1A1435
189B9A,189B9D,189B53
1A1433,1A14C5,1A1558
189A45,1899C7,189BBE
1A1520,1A15EA,1A1701
189DBF,189D97,189C1A
1A1762,1A16B1,1A171C
189BFF,189B87,189BB3
1A170C,1A15DE,1A15E4
189CB0,189B91,189BE2
1A1835,1A1645,1A1620
189BA4,189A42,189B92
1A1471,1A1607,1A17B2
189BD9,189BDE,189B51
1A1825,1A1688,1A1731
189C45,189B9F,189B4C
1A16AD,1A1601,1A162D
189CF3,189C3B,189B6C
1A1684,1A170B,1A1514
189A0A,189B1F,189D8B
1A184E,1A1682,1A1667
189C07,189C67,189A41
1A15BC,1A160C,1A14B1
189BDD,189A8E,189C3E
1A1673,1A1594,1A1585
189AD0,189B1D,189AFD
1A13B3,1A165E,1A15E1
189B57,189B8E,189C66
1A1609,1A168D,1A1675
189AEB,189C31,189A34
1A1626,1A15DF,1A1556
189BAF,189AA1,189936
