{'CALIB_RAW_DAC_START_I': 524288, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-174F8,-174FD,-1751D
5B1,4D3,776
-1737D,-17210,-173A1
6BB,71F,769
-17431,-1744F,-17343
647,709,5D6
-1752E,-174D4,-17416
59B,64F,57D
-17476,-1744B,-1746F
51F,517,66A
-17403,-17314,-175DC
668,361,4F1
-17697,-1765A,-1743A
440,56E,584
-174FE,-176C2,-17476
47E,731,464
-1746F,-17625,-1746A
5A4,621,524
-17559,-175FC,-17404
2D7,380,407
-1762F,-17502,-17587
441,4A6,42D
-177D8,-175E7,-17626
3BA,3C7,341
-174B9,-174F9,-176D7
5FC,40E,576
-17599,-1749C,-17649
60F,516,4E7
-1767D,-175AA,-1763C
586,553,460
-174A6,-175C9,-1753C
5C1,72D,67A
-175A7,-17485,-17484
4BA,454,519
-173C8,-173A4,-17406
828,589,76A
-1755E,-17627,-175F5
248,627,5EB
-17592,-17671,-17631
44D,409,570
-17776,-17723,-174D9
563,6AD,431
-1757A,-174BE,-17414
4E6,775,5E0
-1758B,-174A7,-17633
525,449,56A
-174C2,-17540,-17500
519,53F,503
-1759A,-17546,-17532
496,3B5,3E6
-17724,-173E8,-17574
5D2,33A,4D2
-17755,-17756,-1766D
55A,48B,47F
-17519,-17698,-174F7
65D,326,4C2
-175C0,-17658,-17602
553,4B0,426
-1759B,-175BE,-17662
320,41E,49F
-1769C,-174FF,-175FF
3FA,4ED,596
-175C7,-17618,-176F1
38B,46E,492
-175A1,-1768D,-17616
583,58C,306
-177AA,-1763F,-17873
4BF,5F1,56B
-1778A,-177D5,-1779F
3DF,207,39F
-17645,-1759F,-176EB
4C7,38F,4D1
-176D7,-17629,-1754C
593,4DD,45B
-17663,-175E7,-174CC
5B5,570,539
-17575,-17680,-17625
344,4F2,59A
-17527,-174ED,-17524
5D7,5FB,4C7
-176E4,-17766,-176BA
4E4,68B,4CE
-17543,-1772D,-174EA
41B,3E1,2AD
-1762F,-175C2,-1777F
2FF,270,30C
-17614,-17854,-176FE
352,417,363
-17714,-17509,-17720
426,459,510
-176D9,-1758C,-17811
26E,39E,45F
-175B2,-17690,-1762B
2ED,38D,3FF
-17584,-173C9,-175A6
1E5,453,54C
-1761D,-174C3,-177B4
1CF,38F,426
-17667,-17589,-174F2
3E7,3F1,3F5
-1778D,-17672,-176B1
234,23D,3D8
-1774F,-1777F,-176CE
3A4,2BE,2D3
-176E6,-17785,-177FF
582,3E8,3B2
-177BC,-175D1,-17587
451,374,37D
-17450,-174C5,-17568
25C,3BB,491
-176E0,-1760B,-17570
4FF,5BC,4EE
-174A7,-175F5,-175A5
4EA,5B4,691
-17576,-174B6,-173B4
-8A9,-953,-AAD
-16CD8,-16B9D,-16BBA
BD4,D87,DCE
-16B55,-16B3C,-16CDA
D1E,DE9,EBB
-16CBB,-16CDD,-16C59
A9A,F3A,CCD
-16BEE,-16C62,-16C5E
E89,E18,CDD
-16BAF,-169B3,-16B50
EB7,E9C,F35
-16DAD,-16D57,-16BBE
F11,D90,E6F
-16C5E,-16AFD,-16ECA
BDF,CED,DE8
-16C14,-16BE3,-16C5B
ECE,C3C,E2B
-16E05,-16FDE,-16C0D
CCE,C76,CB0
-16D48,-16C45,-16E51
