{'CALIB_RAW_DAC_START_I': 360448, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-B01C5,-B0018,-AFF32
-9849E,-98534,-985AC
-AFF6B,-AFEDC,-B009C
-98420,-985E3,-983F8
-B0126,-B0117,-B0200
-9878F,-986A6,-98551
-B005E,-B0126,-AFE88
-98570,-985C6,-9861D
-B013E,-B01EA,-B0041
-98722,-9877D,-98794
-B011A,-B01FA,-B00B8
-986B3,-98618,-98477
-AFF8E,-B00FF,-B0143
-98540,-98643,-984F4
-B0068,-B00AB,-AFFF9
-98639,-985CA,-98393
-B011A,-B0295,-B0112
-9846D,-98689,-986A2
-B0180,-B0064,-B0080
-98F7B,-98F91,-99002
-AFBAA,-AFEFA,-AFC8E
-98359,-982E9,-9830F
-AFC69,-AFCED,-AFDC1
-98235,-981C3,-98168
-AFC12,-AFBA5,-AFC3E
-980AB,-980F5,-981CE
-AFAF4,-AFAC1,-AFA59
-9819C,-98402,-98293
-AFCCF,-AFA12,-AFBDA
-98099,-97F82,-980FF
-AFB60,-AFC39,-AFF51
-982AB,-98115,-98319
-AFCF1,-AFE09,-AFB1F
-980D3,-981B8,-98178
-AFC8A,-AFC28,-AFB31
-98058,-98105,-981A2
-AFABA,-AFBCD,-AF9EB
-9827E,-98112,-9812B
-AFC2D,-AFCAD,-AFC71
-97F31,-980E0,-98298
-AFDF1,-AFB6F,-AFDCB
-98386,-982B9,-982B3
-AFC72,-AFD3D,-AFDCD
-98367,-980F4,-982F1
-AFBC7,-AFC64,-AFD83
-98230,-98233,-983B3
-AFF13,-AFCFE,-AFD3A
-98217,-9829A,-982D3
-AFC6B,-AFDC6,-AFC51
-98300,-9809E,-9845A
-AFDD5,-AFDBA,-AFC37
-9830A,-98287,-98245
-AFD65,-AFD4D,-AFDB8
-9836D,-98357,-982BF
-AFE21,-AFC91,-AFD05
-983D4,-981E0,-9819A
-AFCA5,-AFB83,-AFCE0
-982A5,-982AF,-9847A
-AFF6C,-AFE22,-AFD5E
-982FF,-9834A,-982EA
-AFBA6,-AFD92,-AFCE8
-9825B,-984C8,-9856E
-AFCD2,-AFE42,-AFF12
-98365,-98273,-981A4
-AFD04,-AFD71,-AFE13
-982B6,-98254,-98233
-AFDE2,-AFE3F,-AFDA1
-9823D,-98211,-98050
-AFDA2,-AFE2F,-AFE53
-98446,-98501,-983DF
-AFDEA,-AFE0B,-AFD88
-9848D,-9834E,-984EC
-AFBA8,-AFDB3,-AFC97
-983E7,-98369,-98333
-AFE3A,-AFC61,-AFCAA
-9839D,-98232,-981EC
-AFF80,-B0042,-AFE14
-983BE,-983BD,-981E2
-AFEA8,-AFF15,-AFC22
-9819B,-9838E,-98383
-AFE48,-AFDF3,-AFD4B
-98395,-98242,-98443
-AFD56,-AFDE2,-AFF2A
-983CE,-98312,-98375
-B0025,-AFDED,-AFF50
-98410,-984FA,-983C2
-AFD88,-AFE4C,-AFF3A
-98399,-984CC,-984E5
-AFD2D,-AFD37,-AFDC1
-98369,-98459,-9836F
-AFE67,-AFD3A,-AFDCD
-982EE,-983F6,-98363
-AFD74,-AFE2F,-AFD9C
-983E7,-98457,-9850D
-AFE36,-AFF58,-B0038
-983A4,-981E5,-9831E
-AFC8F,-B000D,-AFDBB
-9826E,-9851F,-982AD
-AFE3D,-AFE0F,-AFEA2
-980B3,-9818C,-982A3
-AFF2E,-AFF80,-AFF47
-9857B,-9846E,-98637
-AFD8B,-AFF5E,-B0024
-9844B,-98393,-98434
-AFF02,-AFF4C,-AFEC4
-98617,-9856E,-983FF
-AFD9F,-AFEBA,-AFF84
-9847A,-9823B,-984FF
-AFE87,-B00C1,-B007C
-98584,-983C5,-98529
-AFE6B,-B00D1,-B00DA
-98560,-984F2,-98516
-AFECC,-AFE31,-AFF49
-98553,-984AD,-98370
-AFF52,-B011A,-B0043
-984E8,-98442,-98450
-AFF36,-AFFB0,-B002A
-98496,-98653,-984F0
-AFF8D,-AFF9C,-B0076
-9848D,-98340,-984AB
-AFB68,-AFDBA,-AFFD5
-983F9,-98316,-98534
-AFE55,-AFD2B,-AFFD5
-98460,-982A3,-984DC
-AFFB0,-AFEDB,-AFF8B
-98375,-98520,-98306
-AFE35,-AFEA8,-B0000
-9837F,-98416,-9836D
-AFF55,-B012D,-AFE2A
-98327,-982AD,-983AA
-AFDB3,-AFF89,-AFF3F
-985A0,-984EC,-984BF
-AFFFD,-AFF7A,-AFE8C
-984B6,-9850F,-98635
-AFE8A,-AFF3D,-B0003
-98558,-9845E,-9868C
-AFF45,-B0081,-B00E6
-98698,-9858D,-98569
-B00BF,-B0039,-AFE9F
-98512,-984F4,-984EB
-B006E,-AFFFF,-B0030
-985AC,-985A9,-984DB
-B001A,-AFFFC,-AFE33
-98492,-982E3,-9860F
-AFECD,-AFFDF,-AFE55
-984A3,-98437,-98443
-AFF1B,-B0113,-AFFE1
-9956D,-99531,-99407
-AF75A,-AF593,-AF6B9
-97DC1,-97D27,-97D5F
-AF8AF,-AF6C3,-AF735
-97A7B,-97DDB,-97B81
-AF5A9,-AF676,-AF6C0
-97E06,-97B43,-97D8F
-AF777,-AF838,-AF712
-97CF1,-97DF1,-97BCA
-AF69F,-AF6FD,-AF6CC
-97B9B,-97C4D,-97BC0
-AF7B1,-AF679,-AF8D7
-97D3B,-97DDF,-97C1B
-AF8FF,-AF7D4,-AF83D
-97CBE,-97D27,-97C15
-AF73C,-AF63D,-AF6BB
-97BA0,-97B33,-97AC3
-AF76C,-AF7DD,-AF7E0
-97CEF,-97EAF,-97B69
-AF8FF,-AF75E,-AF8C7
-97CF0,-97BD9,-97DAB
-AF75C,-AF617,-AF984
-97B21,-97BC8,-97E01
-AF5D6,-AF730,-AF6C7
-97D07,-97D98,-97D92
-AF793,-AF8FB,-AF702
-97EBF,-97D9D,-97D1E
-AF52E,-AF776,-AF5F8
-97CB6,-97CB9,-97BFE
-AF9A9,-AF66B,-AF7B6
-97C4F,-97C42,-97C63
-AF75E,-AF890,-AF805
