{'CALIB_RAW_DAC_START_I': 65536, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-1AA5EC,-1AA657,-1AA5DC
-1C21EC,-1C234E,-1C237C
-1AA894,-1AA69A,-1AA82A
-1C22EE,-1C22BE,-1C2148
-1AA98F,-1AA802,-1AA8BF
-1C2394,-1C23EF,-1C213F
-1AAA10,-1AA807,-1AA862
-1C2327,-1C230F,-1C21FD
-1AA862,-1AA811,-1AA74A
-1C2194,-1C225C,-1C220C
-1AA701,-1AA71C,-1AA6E1
-1C22EB,-1C1FD1,-1C225F
-1AA8B0,-1AA798,-1AA5FA
-1C2074,-1C206B,-1C2223
-1AA782,-1AA76A,-1AA8FA
-1C22D7,-1C204F,-1C23A4
-1AA7D6,-1AA753,-1AA718
-1C2278,-1C2228,-1C2329
-1AA8C1,-1AA9A6,-1AA88B
-1C22B5,-1C2297,-1C23C6
-1AA746,-1AA7F3,-1AAA54
-1C2401,-1C2480,-1C23F1
-1AA795,-1AAAAA,-1AA9CA
-1C2312,-1C2523,-1C2396
-1AA887,-1AA7DB,-1AA9F1
-1C22B5,-1C229A,-1C231C
-1AA7FC,-1AA86B,-1AA7DC
-1C23FB,-1C211A,-1C2312
-1AAA1B,-1AA9A6,-1AA888
-1C21DC,-1C215A,-1C2512
-1AA8EC,-1AAA83,-1AA8F3
-1C2279,-1C2352,-1C23D4
-1AA99B,-1AA828,-1AA87C
-1C21E1,-1C2414,-1C241D
-1AA9CB,-1AA9CB,-1AAA81
-1C2455,-1C2353,-1C2239
-1AA98D,-1AA988,-1AA9B3
-1C2325,-1C2507,-1C25B5
-1AAA17,-1AA9E6,-1AA8C2
-1C2339,-1C23EE,-1C24A9
-1AA859,-1AA818,-1AA972
-1C2126,-1C222D,-1C21D2
-1AA9E7,-1AA9FD,-1AA86C
-1C23B5,-1C21EA,-1C23F1
-1AAA99,-1AA6B2,-1AA83A
-1C2297,-1C2363,-1C23F3
-1AA9F3,-1AA9DD,-1AA9DA
-1C2405,-1C2325,-1C2369
-1AA731,-1AA88B,-1AA8DF
-1C24C8,-1C251B,-1C232A
-1AA89F,-1AA838,-1AA9C3
-1C246B,-1C2377,-1C2352
-1AAA25,-1AA999,-1AAB0D
-1C24C3,-1C2409,-1C234B
-1AAA63,-1AAA25,-1AAB0D
-1C251A,-1C242B,-1C261B
-1AABA2,-1AA9A7,-1AAA48
-1C230D,-1C23B7,-1C2520
-1AA92D,-1AA8FF,-1AAA42
-1C2441,-1C2375,-1C2553
-1AAA04,-1AA9F3,-1AA851
-1C2346,-1C263E,-1C23CB
-1AA85E,-1AA927,-1AA855
-1C2235,-1C2436,-1C24E9
-1AAEF6,-1AAF20,-1AAE46
-1C27BC,-1C2989,-1C2987
-1AAFE5,-1AAEE4,-1AAD99
-1C29AC,-1C29E6,-1C28BA
-1AAD68,-1AAE14,-1AAFDF
-1C288E,-1C2A0C,-1C2892
-1AADF7,-1AAD8D,-1AAE87
-1C2853,-1C290F,-1C295C
-1AAE35,-1AAEC3,-1AAF52
-1C27DF,-1C2946,-1C287F
-1AAEDB,-1AAE81,-1AB090
-1C2AF8,-1C2923,-1C28BF
-1AAE27,-1AAF22,-1AAF4C
-1C2A5F,-1C2933,-1C2B0D
-1AAF3B,-1AB026,-1AAE12
-1C286D,-1C2B1D,-1C299B
-1AAEEE,-1AAEF5,-1AAEE5
-1C28E6,-1C298F,-1C2933
