{'CALIB_RAW_DAC_START_I': 589824, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-33BED,-33D76,-33CF7
-4B7FF,-4B810,-4B8FB
-33E33,-33C97,-33E6D
-4B91D,-4B8A1,-4B97C
-33DB8,-33C48,-33F4A
-4BA7D,-4B8BD,-4B931
-33E75,-33DC0,-33D73
-4B71F,-4B728,-4B54F
-33D4E,-33BAB,-33C7C
-4B54C,-4B6DB,-4B550
-33D6E,-33D42,-33E1F
-4B7BA,-4B7B0,-4B790
-33D9B,-33A9B,-33BE1
-4B65A,-4B616,-4B7E8
-33E00,-33DBB,-33D83
-4B9FE,-4B929,-4B641
-33A20,-33AEF,-33BE1
-4B6AF,-4B688,-4B69C
-33B98,-33AE2,-33D75
-4B8A8,-4B76A,-4B558
-33ADA,-33AB0,-33CA3
-4B5CC,-4B78D,-4B8CE
-33CE5,-33C9D,-33BDB
-4B563,-4B741,-4B8FC
-33C94,-33A7B,-33CBE
-4B701,-4B650,-4B767
-33BF1,-33C63,-33BC6
-4B696,-4B7F0,-4B803
-33FEA,-33DE6,-33E93
-4B84C,-4B6F0,-4B73E
-33E64,-34063,-33F94
-4B8C8,-4B77B,-4B86E
-33D79,-33D7B,-33EE1
-4B8A4,-4B889,-4B908
-33D57,-33AE2,-33D83
-4B773,-4B763,-4B863
-33CF3,-33BD0,-33CF0
-4B85E,-4B95E,-4B954
-33E18,-33EDE,-33F9D
-4B795,-4B87C,-4B8F0
-33EDD,-33ED7,-33E1D
-4B87D,-4B823,-4B8BD
-33C1E,-33D34,-33F1F
-4B74B,-4B7F1,-4B809
-33D88,-33CCB,-33BE2
-4B8F3,-4B7C6,-4B772
-33E36,-33CD2,-33EBE
-4B726,-4B8E1,-4B874
-33BFD,-33E15,-33D0F
-4B81F,-4B7FD,-4B625
-33E20,-33E62,-33CDF
-4B921,-4B702,-4B7EB
-33D2E,-33CA1,-33EAD
-4B7C7,-4B7FE,-4B921
-33D16,-33E29,-33DAE
-4B64F,-4B4F7,-4B660
-33D1F,-33B67,-33DC0
-4B72A,-4B853,-4B9A1
-33D26,-33CA2,-33C6D
-4B46F,-4B629,-4B7C7
-34602,-3453E,-346E7
-4B39E,-4B4DC,-4B2E3
-33AFB,-339E5,-33777
-4B36A,-4B255,-4B42A
-33800,-3397E,-33715
-4B296,-4B3E1,-4B5AB
-3394E,-3392F,-3388F
-4B491,-4B447,-4B346
-33789,-338FB,-336E6
-4B2CB,-4B331,-4B28A
-33851,-3381E,-3390D
-4B27A,-4B26F,-4B168
-336E8,-336DE,-3377B
-4B3C0,-4B3B7,-4B268
-336CF,-33741,-33637
-4B21D,-4B44D,-4B258
-3368E,-337D1,-33855
-4B1E8,-4B1BC,-4B114
-3386E,-3379F,-33729
-4B184,-4B10F,-4B185
-337FE,-338D1,-336C9
-4B14C,-4B333,-4B24E
-336FA,-335F9,-336AB
-4AF9F,-4B2B4,-4B14A
-335CE,-335F2,-33414
-4B1FF,-4B112,-4B0A4
-338C8,-33856,-336F9
-4B003,-4B1BC,-4B028
-335B9,-3370D,-335DE
-4AFEB,-4AF74,-4B163
-336A5,-33671,-33778
-4B079,-4ADDC,-4AFD1
-33A4C,-338AF,-33889
-4B12C,-4B1B7,-4B1B6
-33882,-337E9,-33743
-4B0F2,-4B1D8,-4B26A
-338F6,-33864,-33811
-4B0B2,-4B05A,-4B289
-33764,-33780,-337A1
-4B118,-4B099,-4B276
-336B8,-33615,-33566
-4B144,-4AF96,-4B10B
