{'CALIB_RAW_DAC_START_I': 950272, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-805BE,-80699,-804FE
-97FD5,-97F34,-97F9B
-8069F,-8056E,-805BD
-97EDF,-97ECD,-98000
-8064F,-805D9,-805E9
-97ED6,-97F11,-97D0F
-80545,-80666,-80381
-9813D,-97DEB,-97F4A
-806C0,-80527,-80556
-97F3D,-98011,-97F92
-804D1,-80309,-8042A
-97E72,-98049,-97EFC
-805BB,-804A5,-804AA
-97E75,-97FBF,-97FB7
-80549,-804EC,-805B2
-980BF,-97E0E,-97F11
-806D8,-80747,-804F2
-97DA3,-97F24,-97F0A
-803E8,-805E2,-8044C
-97F45,-97F4A,-97E3D
-80353,-80460,-80451
-97F40,-97EFE,-97E3B
-80699,-805CD,-8067B
-980B9,-97F2C,-980C3
-806F1,-804D2,-802D1
-97E72,-97FC7,-9813E
-805E8,-80577,-8055B
-97E5D,-97DE5,-98085
-80640,-805E7,-80588
-97D75,-97FCE,-98053
-805C1,-804B6,-80373
-97FFE,-97E63,-97FF5
-8052C,-80524,-8050B
-97D05,-98011,-9802F
-807C8,-804F7,-80507
-98056,-98000,-97FDA
-810E6,-812E3,-8123F
-9793A,-977A0,-97997
-7FE78,-7FDA0,-800BC
-978B5,-9791F,-97929
-7FE5C,-7FE3D,-7FDFF
-9778A,-978F5,-977DD
-7FF5F,-7FFD5,-7FE07
-9793E,-977F8,-978DD
-7FC76,-7FD2F,-7FF75
-9786B,-9783F,-97A85
-80030,-7FF21,-80003
-97B67,-97A6D,-97B47
-7FEE3,-7FFD0,-7FF86
-97964,-97B05,-97A6E
-7FF5A,-7FED5,-7FF3E
-9785A,-9789E,-97BC2
-7FE64,-7FD78,-7FC1E
-97902,-97998,-9781E
-7FDD3,-7FE19,-7FEC1
-976F8,-978F5,-97A17
-7FEFB,-7FC3C,-7FB94
-9790B,-9772D,-97958
-7FE88,-7FE90,-7FD63
-97742,-978C9,-97937
-7FE61,-7FC65,-7FDC8
-97846,-977FF,-978DD
-7FDE8,-7FDF4,-7FE27
-97753,-97801,-97A56
-7FE67,-7FE9E,-7FD71
-97773,-976D4,-978E0
-7FDA0,-7FD3C,-7FD76
-97842,-976D9,-977A6
-7FD78,-7FD55,-7FE38
-97766,-974E5,-974D7
-7FD5E,-8000A,-7FC50
-9773A,-9769C,-97752
-7FCA8,-7FED2,-7FD96
-97782,-97747,-97970
-7FBF1,-7FBBD,-7FC8A
-9777D,-97783,-9774F
-7FB13,-7FD80,-7FB8D
-97575,-976BC,-9778D
-7FB1F,-7FCA0,-7FA87
-9768E,-97793,-97716
-7FF1C,-7FA88,-7FBA4
-974C4,-9769A,-97550
-7FD1D,-7FA72,-7FC13
-97431,-97652,-9761C
-7FDC6,-7FAA3,-7FD1E
-9762A,-97751,-976F1
-7FCD3,-7FD6E,-7FB8D
-97776,-978CD,-978DD
-7FC51,-7FC78,-7FCD5
-977D8,-97910,-97837
-7FCD7,-7FB79,-7FB54
-97769,-9778F,-97941
-7FC48,-7FD5C,-7FC45
-9762D,-977A2,-9776F
-7FC4F,-7FBD4,-7FCAD
-9766D,-9758A,-97683
-7FBB0,-7FB7A,-7FCB4
-9779D,-97692,-97620
-7FB6A,-7FBA7,-7FA62
-977A7,-975AC,-97751
-7FA97,-7FA55,-7F9DD
-97548,-9755F,-97540
-7FC6E,-7FB0B,-7FB6A
-976F6,-9770E,-97740
-7FBCA,-7FC56,-7FB6F
