{'CALIB_RAW_DAC_START_I': 557056, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
5820C,582A0,57FE7
40709,4077F,406BF
580C5,58026,58024
40753,40631,4062C
580F4,58081,57F70
40750,4068C,4072A
57EE5,5806A,580F9
4059B,40423,404C0
58084,57FFD,5802E
404A8,4045F,40525
57AB9,57B00,57D1B
40B0E,40C5D,40B73
58496,58624,5860B
40CAE,40AD9,40AE2
5844E,5868B,585B0
40AAE,40C18,40BC7
58504,58773,58461
40E5D,40CB2,40BD6
58672,5866E,58725
40BA6,40A23,40C0A
586B3,5851B,584CC
40B17,40B6A,40A12
58461,584D8,58648
40BBC,40C27,40B84
58541,5849C,5861A
40CF0,40A7E,40BCE
58560,5860F,585C2
40B0A,40B42,40AAF
58499,5845D,5861B
40B4C,40B2B,40AB8
58673,5839D,58373
40943,40B2C,40907
583A4,58331,58380
40B1E,409C2,409C6
584F5,58430,58311
40963,40925,40A85
58565,58150,58594
409BF,4081B,40916
582EA,584D8,584E2
40C47,409DC,408F1
58469,58270,5835B
40B87,40818,40918
584F0,58309,582DE
40A3C,40CB6,40B76
585BE,58544,58668
40C13,40CFE,40B30
5854D,586DA,5845A
40BC7,40B66,40B68
583BD,58654,5857A
40B47,40CA6,40A2A
58796,587AB,585C3
40B41,40C38,40AB0
584CB,58548,584AA
40AC7,40C36,40A99
58765,584F3,584F1
409B7,40B6C,40AF3
5849F,58537,5844E
40C6D,40BF0,40A44
585D7,586AF,5862D
40BE5,40B9A,40AEB
58268,5844F,582EE
40B32,40966,40AB1
583D1,5847F,583E2
408E7,4096D,408F8
5840D,5850E,58459
40ACC,40A46,408C5
58536,58502,5858C
40C2E,40B0E,40B1F
583CB,584C5,585F1
409EF,409F0,40972
583D0,584FA,58325
409E5,40962,4099B
58456,58368,582F0
409FA,40ABA,40A3C
58524,58287,58132
40589,40598,406FC
580F3,581B0,5821A
4062D,404FF,4072F
57E2A,58043,5803D
4040F,40474,4047E
57F4F,57E0F,58074
404C4,403C8,40596
57E83,57EA1,57FE6
405A1,40455,403B1
57F0C,58189,58049
40622,40733,4071F
58086,57F3D,58116
4051C,40705,404C0
57E16,57FB0,58063
40762,4046B,40406
58208,5819D,580B4
40726,405EC,405BF
57EBF,57EDF,57FF8
40565,4064C,40445
57ECE,57E43,580E5
40618,40587,40482
57DD5,57D6A,57F00
403FF,403B8,4037D
57DCF,57E71,57E7A
404D0,40470,4033C
57E8D,57E9A,57D3C
40372,40436,404AE
57F61,57EB8,57FB3
404A2,40429,4034C
57D7C,57EBC,57D9C
403D0,401E5,40454
57ECF,57EE9,57C37
4055F,4066D,406B2
58132,57E7E,5813E
407EA,40607,407A3
57F0E,57F0A,57E26
407AD,404E9,4048E
57F81,57EA9,57E6F
405DC,40631,40404
58167,581CD,58097
406AB,40638,40946
58068,58271,581D2
405FA,405CA,40529
57F44,58174,58200
407DF,4075B,405B2
5826D,58085,580BA
405D0,40570,40649
58313,5827D,581BA
4066C,407A9,40700
57ECA,57EF8,57FF2
4061A,4066E,407B6
580FC,581A5,58264
405A2,4060C,40794
57FCB,5815F,58057
4044F,405CA,40541
58274,58108,58391
4043F,4058C,407EA
58042,58028,580DC
404C6,40337,405E8
5803C,57EE0,580D1
4068A,40393,405B4
57F2D,57DB1,57D04
40339,404F5,40536
572D8,57231,57330
408E2,407F8,40859
5829F,58170,584DF
40969,409FA,407BD
58384,58282,582D9
40585,4080B,407D2
58319,58308,5816A
408C2,4069C,409EA
581A2,5820B,58333
4070C,40894,406CB
581F9,57F5F,5809A
40732,406AD,40777
5822F,581F8,582AC
40824,40797,4068C
58082,58015,5803E
406EC,40767,40610
58096,5814C,582E2
40875,40769,4089E
58177,582B0,58198
40751,40A9B,406DB
58178,58286,581AF
40886,40761,406BF
58041,57FA2,58077
40592,406B3,404F4
58104,58174,582D4
40510,405F1,40538
57EF0,57E2F,57F69
4063B,4054D,406BE
57F70,58004,581D2
40693,405FB,40508
57F9C,57F43,58052
405E5,4070C,403FC
57E1A,581CD,58260
40876,408AA,40826
