{'CALIB_RAW_DAC_START_I': 0, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
152B6D,152CFC,152BB0
16A6BC,16A776,16A7FE
152C00,152B9D,152BCE
16A642,16A776,16A70D
152CE9,152C6D,152D1B
16A7C3,16A72F,16A72B
152BDB,152AD0,152E3E
16A661,16A753,16A606
152DEE,152D1F,152B12
16A773,16A693,16A69E
152E94,152CCB,152BA4
16A828,16A874,16A83B
152CDF,152E81,152E02
16A878,16A7D4,16A708
152EAD,153072,152D3A
16A867,16A852,16A948
152E81,152D39,152BBD
16A849,16A93D,16A746
152F4A,152F1D,153094
16A7B9,16A837,16A955
152D8A,152EEF,152DF1
16A902,16A800,16A833
152F48,152E3B,152EE6
16A824,16A9D9,16A9AD
15306F,152DFE,152F61
16A845,16A9BD,16A97E
152E67,152FE6,152E1E
16AA12,16A9A5,16A92B
152EC8,152ED2,152E6E
16AB8B,16AA15,16A91A
152E45,152F0C,152DF0
16A971,16A96E,16A999
152E3E,152FF7,152FD5
16AAAB,16AA3E,16ACE1
15313E,152F1B,152EAE
16AA2C,16A9D3,16AAF9
152FC9,152FAB,1531C6
16AAF2,16ABF4,16AAC7
1531C7,152F85,15301A
16AAC9,16A8ED,16AB8B
152FCF,15315C,152E26
169A99,169B91,169C26
152F88,152F28,152EE4
16A8FB,16A981,16AB50
152FEB,1531BE,15305A
16AB1E,16A8EE,16AA83
152FD0,152FCC,153149
16AA6F,16AA31,16AAAE
15311C,152F81,153277
16AAEB,16AB6A,16AB1F
153223,1531AF,153085
16AB10,16AB0C,16AA53
152FC5,1530A9,1531E8
16AABD,16AA99,16AC2E
1530B8,1530BF,153146
16AA71,16AB7D,16AB93
1530CB,15321A,1531B7
16ADEF,16AC85,16AB77
15326B,1531B0,1530F9
16A9EC,16AC79,16AB1B
15316B,153251,1530D6
16ACDF,16ACE1,16AD27
15316A,153128,153171
16AC8E,16ABA0,16AD0D
153388,153183,15325F
16AC49,16AF2D,16AD77
153197,15328E,15325E
16ABFC,16AD32,16AD00
153255,153349,1531D4
16ABA8,16AC42,16ADCA
15319D,1530F5,15329D
16AB02,16AC82,16AD56
153234,153284,1534C9
16ACF8,16AEDD,16ACB0
153428,1532E0,153284
16AE44,16AE2C,16AEC4
1533B2,1532D3,15341E
16ADAA,16AE39,16ADE2
153372,1533B9,153456
16AD79,16ADF3,16AFF5
153501,153634,15335A
16AED7,16AF04,16AF5F
15347C,153491,1532BF
16AEE9,16AE1D,16AE7E
153589,1532F3,1534F2
16AEA0,16AF6A,16B0D7
153546,153504,1535D7
16ADE5,16AFF0,16AF98
15348C,15326A,153465
16B0FF,16AFE2,16AF96
15342B,153424,1533D6
16AF31,16AF1F,16AF61
1535A3,1534E6,153508
16AD45,16AF4C,16AF32
153548,15366C,153512
