{'CALIB_RAW_DAC_START_I': 917504, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-D1A89,-D1AD9,-D1B19
-BA0D9,-BA06D,-BA18C
-D1B74,-D1CAB,-D1B32
-BA146,-BA0BF,-BA050
-D1B37,-D1B55,-D1ACA
-BA192,-BA0FC,-BA115
-D19D2,-D1957,-D1A7E
-BA164,-B9DEA,-B9FB1
-D19C7,-D19A2,-D1A16
-B9EE0,-B9F24,-B9F8E
-D1BD8,-D1C22,-D17FC
-B9F4D,-BA024,-B9FD9
-D1B5B,-D1B59,-D1C7B
-B9FF6,-B9F0A,-B9F40
-D1AB2,-D18D3,-D1A7F
-B9EC8,-B9F64,-B9F26
-D19E5,-D1A72,-D189B
-B9E92,-B9E81,-B9DC7
-D1891,-D19FC,-D1820
-B9DB0,-B9E8B,-B9EBE
-D182C,-D1921,-D18E2
-BA0AB,-B9E59,-B9EF1
-D1921,-D1B2F,-D1B6D
-BA04A,-B9F2C,-B9EB8
-D1A73,-D18A2,-D1839
-B9E79,-B9CF4,-B9E08
-D195B,-D198D,-D195E
-B9E17,-B9F92,-B9F7D
-D18AD,-D1A09,-D18BD
-B9E9F,-B9D1E,-B9D7A
-D1736,-D1883,-D186D
-B9EEF,-BA032,-BA00D
-D18FD,-D195E,-D1A1E
-B9E8D,-BA0CA,-B9D70
-D193E,-D1827,-D1834
-B9F63,-B9E7A,-B9E9B
-D1785,-D16A4,-D1942
-B9EE1,-B9E1F,-B9CC0
-D1893,-D17EA,-D175C
-B9E1D,-B9E03,-B9DC9
-D16CF,-D178E,-D178D
-B9D97,-B9DD3,-B9DAB
-D18E5,-D173C,-D178B
-B9D17,-B9D60,-B9DFE
-D16EF,-D1784,-D183F
-BABF2,-BACB0,-BAB88
-D16B7,-D16B7,-D16D1
-B9CF9,-B9DBE,-B9D7D
-D1679,-D1712,-D15DC
-B9D97,-B9DE7,-B9EE1
-D1425,-D1732,-D158E
-B9C96,-B9CDA,-B9C48
-D14CC,-D16DF,-D1872
-B9B01,-B9C33,-B9C65
-D1624,-D1660,-D175B
-B9A37,-B9B40,-B9D28
-D15D9,-D178C,-D1872
-B9C31,-B9BB3,-B9CC3
-D1508,-D1509,-D1704
-B9AFB,-B9B7C,-B9B98
-D17EA,-D15E8,-D1563
-B99F2,-B9A13,-B995C
-D14F1,-D161B,-D145C
-B99C7,-B9AE1,-B9AD2
-D151D,-D159F,-D1546
-B9A8C,-B99FA,-B97AA
-D1489,-D1580,-D15C4
-B9CF9,-B9B20,-B9B64
-D1540,-D153E,-D12EB
-B9928,-B9A97,-B99E3
-D130F,-D13EC,-D14BE
-B9BF8,-B9B01,-B9AF4
-D1675,-D14CE,-D1516
-B9ADA,-B9B2A,-B9944
-D1535,-D14DE,-D13FA
-B99E5,-B9971,-B99AE
-D13B6,-D14AC,-D14DD
-B9ADA,-B9A22,-B9AF8
-D1327,-D122B,-D12C9
-B979E,-B99CB,-B9915
-D1203,-D1312,-D1221
-B97A6,-B97C7,-B983E
-D13B1,-D1450,-D12E5
-B98B1,-B9780,-B97E8
-D1285,-D117E,-D134E
-B98FC,-B986D,-B98A4
-D13CD,-D1408,-D1330
-B9A57,-B98A7,-B97C3
-D124C,-D1286,-D137B
-B97A8,-B9943,-B9998
-D138C,-D1408,-D13E7
-B997C,-B9813,-B984F
-D1258,-D13F9,-D12F6
-B966A,-B9524,-B978F
-D13A4,-D1499,-D118E
-B96A0,-B963C,-B9922
-D122B,-D137E,-D12FF
-B9909,-B97F5,-B9918
-D12F6,-D134B,-D119D
-B98C5,-B9907,-B98AA
-D14BA,-D138B,-D12A8
-B9827,-B969B,-B9796
-D1116,-D118D,-D12A8
-B9A71,-B97BC,-B97C1
-D1225,-D127D,-D11BE
-B97CD,-B9780,-B9792
-D1190,-D113D,-D115A
-B9672,-B96CE,-B9902
-D1173,-D11A0,-D122D
-B9743,-B96F5,-B95D9
-D15F2,-D150C,-D159E
-B9BE4,-B9A16,-B9924
-D1486,-D151E,-D1446
-B99CA,-B99B9,-B99CF
-D1274,-D1408,-D1521
-B99AD,-B9937,-B999F
-D13E6,-D1612,-D1526
-B99CB,-B9757,-B98DC
-D14C6,-D149F,-D151C
-B9BD5,-B9A31,-B9934
-D13E9,-D1345,-D1301
-B9727,-B9926,-B98E6
-D12BC,-D13CD,-D141F
-B98CF,-B99DF,-B9A4D
-D15B8,-D13A9,-D1418
-B99BE,-B97C4,-B98B5
-D126B,-D13A5,-D10FB
-B984B,-B9888,-B9911
-D124B,-D142F,-D13AC
-B9925,-B98EB,-B9943
-D138B,-D137B,-D13E7
-B969E,-B981C,-B96D5
-D12E0,-D126D,-D1282
-B97EF,-B9808,-B976C
-D1233,-D1149,-D131A
-B98BA,-B983C,-B9833
-D1442,-D12BD,-D12B2
-B9773,-B98A8,-B979A
-D139B,-D115E,-D1099
-B983E,-B9719,-B95FA
-D11B3,-D108D,-D1252
-B9739,-B97CF,-B97FC
-D1029,-D1074,-D0F70
-B9738,-B96CF,-B9639
-D0F7E,-D11E6,-D10B0
-B97D3,-B963E,-B962E
-D0F00,-D0FB9,-D10D7
-B96A6,-B95F7,-B965B
-D0FEF,-D1160,-D0F58
-B93DA,-B9381,-B93A7
-D0ED5,-D0DDC,-D0DB9
-B94C3,-B953B,-B95B7
-D0F48,-D0FBF,-D0F87
-B94A5,-B9554,-B94FE
-D10A9,-D0E8C,-D0E61
-B973D,-B9443,-B9458
-D0F58,-D0E75,-D1032
-B9598,-B93D2,-B93B8
-D0F39,-D0E02,-D0C94
-B94EF,-B93B9,-B9459
-D0F15,-D0E3E,-D0FE9
-B9639,-B930F,-B9495
-D0EBC,-D0EBE,-D108E
-B96D2,-B95AC,-B94DC
-D0E63,-D11CE,-D10E3
-B933F,-B9307,-B9576
-D0DB9,-D0FA5,-D0F0E
-B93EA,-B955F,-B9454
-D0FD6,-D0EBA,-D0E19
-B95F0,-B9318,-B960A
-D0F1C,-D0F7B,-D0E95
-B94A8,-B9624,-B94F2
-D0D6E,-D0E6E,-D0DBB
-BA7EE,-BA9BD,-BA81A
-D18B3,-D1A54,-D199D
-BA057,-B9FA5,-B9E2B
-D186A,-D1A62,-D1770
-B9E57,-B9EFA,-B9EBA
-D1786,-D1798,-D17B4
-B9DE2,-B9D99,-BA030
-D1947,-D17C6,-D192C
-B9F3F,-B9EF1,-B9E6A
-D19A7,-D19C6,-D19A7
-BA089,-BA084,-B9EBE
-D1972,-D1814,-D17FD
-B9D3D,-B9CA7,-B9F86
-D1993,-D17DE,-D1A50
-B9DC2,-B9F3D,-B9D7D
-D1799,-D1841,-D191B
-B9D88,-B9D1F,-B9E19
-D17D7,-D18BF,-D1987
-B9F74,-B9CF2,-B9E86
-D1787,-D1765,-D197A
-B9CC6,-B9ED4,-B9D4A
-D1915,-D1711,-D189D
-B9F03,-B9F0B,-B9E2C
-D17F3,-D189D,-D1889
-B9C81,-B9D4D,-B9CEC
-D1852,-D17D5,-D1832
-B9C82,-B9B59,-B9BDA
-D15EC,-D17A4,-D1677
-B9C71,-B9CF0,-B9CD4
-D15E3,-D17C2,-D16AC
-B9C4B,-B9E68,-B9DDD
-D1706,-D1863,-D1714
-B9E0C,-B9ECD,-B9EB1
-D1643,-D1600,-D169B
-B9CC8,-B9CBC,-B9D0A
-D14BF,-D163D,-D16C9
