{'CALIB_RAW_DAC_START_I': 753664, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
BCC6B,BCC56,BCBD2
D44A3,D45A8,D4435
BC98E,BC91A,BC8D5
D44B0,D4443,D448B
BC934,BC983,BC85B
D4361,D429A,D42C4
BC99B,BC94F,BC9C0
D4326,D4327,D4376
BC80A,BC806,BC8C9
D439A,D45A5,D42A6
BC90F,BC993,BCA5F
D42B9,D4228,D43B0
BC8DE,BC752,BC75A
D404A,D42C0,D42E0
BC6E0,BC726,BC7FE
D4258,D3FD2,D44A0
BC938,BC7ED,BC9AA
D447F,D4312,D4391
BC972,BCA2C,BC9A3
D410C,D444F,D43A4
BC773,BC7E0,BC779
D42B8,D427C,D434B
BC7C1,BC723,BC7CB
D402C,D3FA3,D410D
BC709,BC609,BC63A
D4187,D43FA,D4363
BC9D0,BC801,BC7B1
D445F,D4252,D421A
BC7B2,BC770,BC739
D4081,D4356,D43FF
BC6AD,BC88E,BC709
D435A,D426D,D4126
BCA24,BC908,BC90D
D43A9,D4163,D42AF
BC8A4,BC633,BC965
D4461,D41EF,D41EC
BC6C8,BC88E,BC823
D365C,D3713,D380B
BCD21,BCCD2,BCB8A
D4606,D4500,D4518
BC9ED,BC925,BC96E
D455D,D45A0,D469A
BCB5E,BCA6B,BCCEE
D4482,D44B1,D447E
BCC82,BCB1C,BCADA
D4648,D446B,D4659
BCB14,BCB04,BC9CE
D4599,D459E,D4882
BCBAF,BCCB7,BCBAF
D46D2,D44F9,D45A7
BCAD5,BCBA0,BCAFF
D45B0,D4565,D475D
BCCB5,BCC5C,BCB61
D44F4,D4583,D4538
BCBEB,BCB8C,BCB27
D430E,D4410,D4518
BCC8B,BCC89,BCB75
D45B2,D44A7,D45F9
BCC3A,BCCC2,BCA3D
D45B6,D4676,D4742
BCA9C,BCC88,BCC2A
D46C8,D4773,D45B2
BCB20,BCC4C,BCAE8
D42DA,D4577,D466C
BCB12,BCB64,BCC3A
D4665,D4739,D4669
BCBB1,BCC7D,BCC00
D45CD,D468E,D45B1
BCCF4,BCD08,BCC54
D467C,D475D,D4592
BCB2F,BCBED,BCB7B
D44DF,D449E,D45A0
BCCB2,BCBF5,BCE11
D452D,D4695,D46AA
BCC59,BCB7F,BCC38
D4678,D441F,D463E
BCB81,BCB7E,BC8EC
D43F8,D458F,D4334
BCA73,BCAF7,BCBBD
D44F7,D4719,D4664
BCB22,BCBBC,BCC23
D469B,D464A,D461D
BCA4C,BCCF1,BCD15
D458E,D45E9,D45DD
BCC42,BCC44,BCAED
D493D,D47E7,D478A
BCC6A,BCB02,BCA5A
D4510,D457E,D42A7
BCA95,BC9B9,BCAE7
D4707,D4462,D4465
BCC60,BCB31,BCBD5
D4595,D45C5,D4581
BC994,BC93D,BC98E
D46FF,D4648,D44AA
BC9CB,BCA9D,BCC15
D46C9,D445F,D43BD
BCA99,BCACB,BCBDA
D45E4,D43C9,D4400
BCB3A,BCB78,BC995
D44C7,D43EA,D449D
BCAD9,BCA23,BCBD5
D46AD,D45A1,D45CC
BCAFF,BCA56,BCB9F
D4427,D456B,D4544
BCA9E,BCA77,BCA44
D45E3,D462D,D45D3
BC999,BCA49,BCBFF
D457E,D43D8,D44FB
BC975,BCA53,BC9B9
D44EB,D44E8,D44DA
BC95B,BCAC7,BCC01
D45F6,D4591,D4470
BCB94,BCB79,BCA76
D47AB,D4611,D44D9
BCB58,BCA12,BCB35
D44B8,D457B,D462E
BCACA,BCB48,BCBB3
D4657,D469B,D44E6
BCB9D,BCBDC,BCB90
D43CA,D43DC,D44E6
BCA2C,BCA72,BC918
D4365,D4489,D4634
