{'CALIB_RAW_DAC_START_I': 262144, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-10DC3C,-10DE61,-10DBCB
-F634B,-F633E,-F6383
-10DF71,-10DE15,-10DD7B
-F6323,-F635D,-F63F6
-10DBF2,-10DEB2,-10DC20
-F6253,-F61ED,-F6298
-10DD3F,-10DD51,-10DDB5
-F61B0,-F650C,-F637A
-10DD3D,-10DD67,-10DB44
-F629E,-F61E4,-F63D9
-10DDB1,-10DCBB,-10DD77
-F6464,-F6353,-F6237
-10DD75,-10DDDB,-10DE9A
-F6114,-F6418,-F62D3
-10DCE3,-10DBA0,-10DCF3
-F64B0,-F629F,-F62B8
-10DB93,-10DC63,-10DD36
-F6264,-F6447,-F6313
-10DE6F,-10DE77,-10DCEF
-F63A7,-F6308,-F6469
-10DD08,-10DF71,-10DF5A
-F620E,-F6298,-F6304
-10DD47,-10E080,-10DD0A
-F6592,-F6542,-F6510
-10DF46,-10DF2F,-10DE38
-F63E9,-F6347,-F63E3
-10DB12,-10DDBA,-10DE9C
-F65FA,-F6222,-F63B7
-10DDBA,-10DE67,-10DE6B
-F6532,-F6340,-F64AD
-10DCF1,-10DD74,-10DD7C
-F6294,-F62E3,-F632D
-10DD3B,-10DC8D,-10DDB6
-F6240,-F6286,-F616B
-10DBE4,-10DB69,-10DC9D
-F6297,-F6283,-F61F5
-10DC46,-10DAF8,-10DCEA
-F637C,-F623E,-F63B3
-10DC96,-10DE55,-10DC61
-F6284,-F63BE,-F62AA
-10DDEE,-10DE2A,-10DB83
-F62DE,-F6381,-F6319
-10DCCD,-10DD20,-10DE42
-F6451,-F640B,-F6370
-10DD60,-10DD1B,-10DE77
-F62AE,-F6370,-F6410
-10DECE,-10DD42,-10DDFD
-F63D1,-F6380,-F63B4
-10DE41,-10DD41,-10E07C
-F63EA,-F64D2,-F64BC
-10DE04,-10DE3B,-10DDFC
-F6262,-F6366,-F651B
-10DF0B,-10DEA6,-10DEF6
-F6458,-F628A,-F633A
-10DF18,-10DCA5,-10DD2A
-F63F0,-F6521,-F63E0
-10DFB5,-10E02F,-10DF7D
-F63AB,-F65C2,-F64C8
-10DD09,-10DE23,-10DE1D
-F6411,-F6340,-F62BB
-10DDBC,-10DDBD,-10DD6B
-F58F1,-F5745,-F58D6
-10CCF9,-10CC2D,-10CC24
-F5264,-F5346,-F5243
-10CB99,-10CBFC,-10CC57
-F518F,-F5168,-F5264
-10CCC1,-10CCF2,-10CD15
-F53CB,-F52E9,-F5357
-10CC79,-10CBC0,-10CDDC
-F52B9,-F54DE,-F537F
-10CDE8,-10CD41,-10CE1D
-F54D4,-F538E,-F5342
-10D07E,-10CE42,-10CF3E
-F559C,-F5412,-F52BD
-10CD4C,-10CE32,-10D0C4
-F5572,-F549B,-F5533
-10CDF1,-10CF0F,-10CEE1
-F5490,-F533E,-F5356
-10CF1F,-10CE95,-10CF69
-F5503,-F543B,-F5358
-10CEC3,-10CF23,-10CDE9
-F5454,-F551E,-F53AC
-10CEC0,-10CE78,-10CD96
-F5437,-F53F8,-F55CC
-10CF08,-10CEE5,-10CC94
-F54CC,-F55D4,-F52FF
-10CF63,-10CC8D,-10CE74
-F5574,-F537E,-F5574
-10CFCC,-10CEC5,-10CF5E
-F5447,-F5414,-F5612
-10CF5D,-10CEF9,-10CEE5
-F558B,-F5587,-F54A5
-10D055,-10CEE3,-10CEEF
-F54C7,-F536B,-F54A2
-10CD73,-10CDC0,-10CD45
-F5286,-F52F2,-F5491
-10CE21,-10D036,-10CE80
-F5409,-F5117,-F54F3
-10CDAA,-10CF57,-10CD8D
-F54E4,-F5401,-F5607
-10CE24,-10CC10,-10CDDE
-F54C0,-F54D0,-F54E2
-10CD29,-10CD9C,-10CFBC
-F557A,-F5591,-F55BF
-10CF04,-10CED1,-10CDFB
-F554C,-F55BA,-F5516
-10CF59,-10D090,-10D142
-F553A,-F53DD,-F55B3
-10CFD6,-10D1D7,-10D172
-F5466,-F54A8,-F5502
-10CEC0,-10D0B7,-10D0ED
-F53AA,-F54D3,-F54AE
-10CF65,-10CF65,-10D01E
-F5465,-F573A,-F55F5
-10D0AD,-10CFC9,-10CFB1
-F56D5,-F56A6,-F57EA
-10D0AA,-10CFC8,-10D076
-F55A9,-F5527,-F53CA
-10CF41,-10CF2D,-10CF29
-F54CF,-F5529,-F5616
-10CFAC,-10D076,-10D029
-F56B1,-F54C5,-F579C
-10D077,-10D006,-10D140
