{'CALIB_RAW_DAC_START_I': 851968, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-6BA15,-6BACB,-6BAD4
-833E7,-833A9,-83480
-6BA92,-6BABA,-6BA80
-8339E,-8350F,-83320
-6BAF9,-6B983,-6B79D
-833B3,-83609,-83444
-6B885,-6B82C,-6B8CB
-83356,-8331B,-833A1
-6B93F,-6B918,-6B8D6
-8345F,-833EA,-8338F
-6BA11,-6B9AD,-6BA51
-834AB,-83415,-83498
-6BB82,-6B998,-6BA9E
-83476,-83469,-83494
-6B947,-6BA7E,-6B9DD
-8352E,-8344D,-8336A
-6BB5F,-6BBD7,-6BAC7
-83541,-834AF,-832B1
-6B9E8,-6B9C7,-6B8BC
-834FC,-832CD,-835DE
-6B9CE,-6B781,-6BA0F
-83244,-8315D,-8331B
-6B71C,-6B8ED,-6B55B
-831DF,-8317F,-831FA
-6B69C,-6B70C,-6B7C6
-8325F,-83209,-833D8
-6B9B7,-6B6F2,-6B85C
-83130,-831F6,-83213
-6B8C0,-6B78B,-6B7EA
-83163,-83238,-83076
-6B82C,-6B65F,-6B792
-832EC,-831AF,-8329F
-6B79F,-6B83F,-6B67A
-8310C,-83159,-832C4
-6B841,-6B605,-6B4ED
-830DE,-8310F,-82F97
-6B711,-6B5D8,-6B5DD
-82FBB,-82FE9,-82FB8
-6B667,-6B3EE,-6B3BA
-82E7F,-830D9,-8305B
-6B71B,-6B6E3,-6B659
-83059,-83108,-831AE
-6B8A3,-6B6F7,-6B432
-83142,-83092,-83336
-6B6EA,-6B716,-6B7B3
-831B8,-830DB,-83222
-6B75F,-6B4E8,-6B6C3
-83396,-8314D,-83214
-6B747,-6B6EB,-6B753
-830D9,-830AA,-8305C
-6B57B,-6B66D,-6B51A
-82EDD,-82F8A,-83039
-6B3F5,-6B4DF,-6B57C
-83219,-83247,-8328E
-6B777,-6B7F0,-6B861
-832C9,-830BB,-8316E
-6B779,-6B99D,-6B6D5
-830E1,-832B7,-83213
-6B701,-6B84B,-6B716
-83055,-83267,-83130
-6B82E,-6B793,-6B6D7
-83096,-83276,-83105
-6B656,-6B6A9,-6B649
-8325C,-831E3,-83155
-6B58D,-6B857,-6B868
-830F8,-83131,-83380
-6B788,-6B6A7,-6B67E
-83137,-830FD,-83013
-6B69E,-6B67A,-6B520
-82FAF,-82ED2,-83172
-6B60B,-6B45C,-6B47A
