{'CALIB_RAW_DAC_START_I': 851968, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-93681,-93761,-93725
-AAF8A,-AB0D6,-AB17D
-9369D,-934FA,-935E7
-AAE19,-AAEB2,-AB208
-93686,-936AB,-93581
-AAFDB,-AB056,-AAD45
-9348E,-9367D,-93412
-AAF60,-AAF2F,-AB087
-93682,-93581,-93608
-AB0B5,-AB218,-AAEF6
-93581,-93654,-93666
-AAE93,-AAD90,-AAE06
-934BE,-9334B,-93376
-AAF1F,-AADE5,-AAFB0
-9334C,-932E2,-932CF
-AAE4C,-AAFB2,-AAE6A
-9354D,-9333B,-93653
-AADD9,-AAE15,-AAF79
-9340A,-9334D,-93601
-AAF4A,-AADDF,-AAFDD
-935A9,-934BF,-93303
-AAE41,-AAF83,-AAF55
-935ED,-934A4,-934CD
-AAFA1,-AAF3B,-AAF5C
-932A1,-9341A,-93345
-AAFAE,-AAD7E,-AAF35
-933AC,-93216,-93391
-AADF6,-AAE0B,-AAD25
-932C5,-93328,-93374
-AAEB8,-AAC97,-AABB5
-931C6,-93121,-9302E
-AABD7,-AAC52,-AAEA5
-931E2,-931F8,-93241
-AAE52,-AAE73,-AABED
-93323,-9312A,-932F7
-AACED,-AAB77,-AAC6D
-932EF,-93343,-9312D
-AAD00,-AAD2D,-AAB43
-933DD,-93191,-93077
-AABCB,-AAB3A,-AAB7F
-9311D,-93243,-931DC
-AAB3D,-AAE16,-AAC05
-94024,-9402D,-94072
-AACB5,-AABC4,-AAC66
-9310D,-93389,-9309A
-AABB1,-AAAEA,-AABAF
-93096,-9308B,-9310B
-AAC05,-AAD29,-AACA0
-92F97,-9339E,-93106
-AAC2F,-AACE4,-AAAE4
-9308A,-92FC3,-93163
-AA843,-AAB6C,-AAC40
-92E7C,-93039,-930E3
-AAA1C,-AAB7B,-AAA0A
-9312D,-92F9F,-93089
-AAA73,-AAB08,-AA9E2
-93027,-9306E,-931F4
-AABBC,-AABD0,-AAC08
-9317B,-92F47,-92FC5
-AA9F1,-AA98F,-AA95B
-92E35,-93158,-92F7F
-AAA36,-AA9DC,-AAB09
-92FC2,-92F9B,-930DD
-AAA9F,-AA7D9,-AA85E
-9304D,-92E9B,-92E24
-AA9AF,-AAA56,-AAA03
-93034,-92CC5,-92E99
-AA6F8,-AA9ED,-AAA1A
-93219,-92FFB,-92ED4
-AAA6B,-AA865,-AA976
-92F88,-92EC7,-930BC
-AAA2C,-AA941,-AAB42
-92E82,-92E1E,-92FD7
-AA863,-AAA13,-AA927
-92F67,-92F3C,-92EC0
-AA5BB,-AA7ED,-AA922
-92F73,-92E10,-92D9E
-AA834,-AAA0E,-AA5EE
-92CA3,-92C42,-92CB3
-AA8B8,-AA952,-AA880
-92C85,-92E7E,-92D0D
-AA710,-AA8F7,-AA89F
-92BEB,-92D09,-92C55
-AA77F,-AA802,-AA8E8
-92E85,-92EAB,-92DE8
-AA828,-AA798,-AA61D
-92DAB,-92DFC,-92C1F
-AA844,-AA714,-AA5B2
-92CB2,-92C2B,-92CCA
-AA8CD,-AA712,-AA87E
-92C2B,-92C2A,-92A91
-AA5BB,-AA760,-AA61F
-92B3F,-92C24,-92C66
-AA742,-AA69E,-AA65D
-92CCF,-92A9A,-92AFB
-AA513,-AA62D,-AA575
-92C3C,-92AB3,-92A0E
-AA55D,-AA6B7,-AA5A9
-92CD5,-92BC9,-92AFD
-AA4B0,-AA6D3,-AA70B
-92A3D,-92A6A,-92C1A
-AA4F6,-AA69B,-AA3A7
-92A8C,-92AAA,-92B1E
-AA4D9,-AA512,-AA5C4
-92C64,-92B0A,-92A37
-AA561,-AA3B6,-AA5B4
-92B4B,-92B7C,-92C5D
-AAB3A,-AAAAD,-AA979
-93068,-93028,-92E58
-AA9CC,-AA952,-AAB0D
-92EE9,-92E58,-92ED1
-AAA83,-AA8FD,-AA939
-92F57,-92F63,-92E04
-AA9DE,-AADA9,-AA891
-92DFA,-92F92,-92EB5
-AA9A2,-AA9EE,-AAA43
-93038,-92F76,-92EA9
-AA8B4,-AA851,-AA8F9
-92DBF,-92DB5,-92DEA
-AA8F1,-AA8BC,-AA976
-92EBF,-9303A,-930D7
-AA85C,-AA8B5,-AA97F
-92E49,-92D8B,-92D27
-AA81E,-AA824,-AA7D0
-92FE5,-92C21,-92D1C
-AA799,-AA8CF,-AA881
-92DDF,-92DA2,-92F3C
-AA8DD,-AA802,-AA873
-92DB5,-92BC3,-92D32
-AA698,-AA5C7,-AA677
-92CA0,-92CB6,-92C98
-AA624,-AA7A5,-AA6A2
-92C27,-92B90,-92DF4
-AA67E,-AA6C6,-AA892
-92AF4,-92D3D,-92B05
-AA7A8,-AA69B,-AA7D5
-92B1D,-92DC5,-92D11
-AA77D,-AA824,-AA678
-92C30,-92C8A,-92C10
-AA3CC,-AA44C,-AA532
-92A93,-92BA8,-92D48
-AA4EC,-AA628,-AA5E5
-92AAE,-92A97,-92B18
-AA531,-AA423,-AA466
-92C12,-92B66,-92B02
-AA378,-AA4BE,-AA4F4
-92AA1,-92A70,-929FA
-AA4EE,-AA459,-AA459
-929E9,-92878,-92A1A
-AA2FF,-AA4A8,-AA551
-92C9E,-928EA,-92981
-AA304,-AA608,-AA4D5
-92A49,-929D3,-927C6
-AA4EE,-AA413,-AA498
-92A37,-929AC,-9298D
-AA3A9,-AA4E1,-AA51B
-92969,-92BB2,-929C2
-AA314,-AA4E3,-AA59A
-92934,-92841,-92960
-AA517,-AA3B7,-AA3D8
-92A1D,-92A13,-929D8
-AA4A6,-AA454,-AA32F
-9298E,-92953,-92893
-AA34B,-AA2ED,-AA3F0
-928D6,-92829,-928C3
-AA224,-AA34E,-AA3E5
-926F2,-928CE,-928CD
-AA344,-AA304,-AA3CB
-92888,-9274A,-92997
-AA424,-AA494,-AA358
-943ED,-94534,-9448F
-AA27A,-AA2D9,-AA2BD
-927A8,-927C3,-927C2
-AA22D,-AA4A1,-AA297
-92768,-92883,-9271B
-AA325,-AA2CB,-AA410
-92691,-9257C,-927FE
-AA17D,-AA31F,-AA1AF
-9270E,-92768,-926C0
-AA113,-AA0ED,-AA0A0
-927E4,-925E1,-925FA
-AA252,-AA0A5,-AA112
-92693,-927DA,-926C8
-AA0AF,-AA0A3,-AA0BC
-928D8,-928A9,-92656
-AA176,-AA1C5,-A9F69
-927FA,-92782,-92793
-AA275,-AA35D,-AA0AA
-92849,-92648,-92657
-AA1C1,-AA078,-AA003
-92610,-92574,-926F9
-AA083,-A9F85,-AA073
-926E3,-92890,-9271F
-AA122,-AA09A,-A9E7A
-92654,-92629,-92748
-AA096,-AA179,-AA111
-9256C,-92706,-9268E
-AA16F,-AA04D,-AA0DB
-9263E,-9263F,-925FF
-A9F8E,-AA009,-AA1CA
-925A4,-9251D,-927FC
-AA07D,-A9F41,-AA3F1
-92867,-927EE,-92452
-A9F57,-A9ED8,-A9DD9
-925E0,-924CB,-9245D
-A9EC3,-A9E34,-A9EB5
-926AF,-92561,-925B7
-A9F10,-A9E79,-A9F6B
-925F6,-923F6,-92556
