{'CALIB_RAW_DAC_START_I': 655360, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-41A95,-41A40,-41A2C
-5944E,-59396,-593E2
-419D3,-419E8,-418D8
-591D5,-59232,-5928D
-419EA,-418FE,-419C4
-592D4,-59260,-592CA
-41741,-4169B,-41744
-5903D,-59102,-590B5
-416F0,-4183A,-417A3
-5937B,-59380,-59245
-414E0,-4170E,-41746
-591F9,-5930D,-59543
-419D2,-41950,-418F1
-59276,-592DB,-59244
-419AF,-417A7,-41864
-59443,-592DE,-5929F
-419D0,-419B2,-4187A
-593E7,-59437,-593CB
-41912,-41A2C,-41888
-593F7,-593CB,-5944A
-419C6,-41B69,-419C7
-59367,-593E4,-59369
-4183B,-418B9,-4182F
-5931C,-591C0,-592B3
-417A4,-416D8,-418D0
-59206,-59359,-59366
-41B78,-41B60,-41B2C
-594C1,-5945A,-5951B
-4192F,-418E8,-41A52
-5951C,-594E0,-59456
-419F2,-419CB,-41AA5
-59223,-593D6,-59494
-41941,-419BC,-419DE
-5963D,-59400,-595B9
-41B51,-41A41,-41BEE
-593A0,-59558,-59588
-41A5D,-41B5A,-419D1
-594CF,-59624,-5949B
-41A5C,-419BC,-41B88
-59515,-59440,-59396
-4195D,-419C1,-41A0C
-593C7,-592E7,-59493
-41944,-41999,-4197F
-594A2,-59486,-593DE
-41B81,-41B1E,-41AE4
-594FA,-59465,-594E8
-419A6,-41B05,-41972
-595DB,-59377,-595C9
-41AEE,-419B6,-41A63
-5956E,-593E6,-593A9
-41A6F,-4193D,-4197F
-593D5,-593FC,-5944B
-41A8C,-41929,-41A5F
-59311,-592EB,-594D8
-4199C,-417E4,-41A5F
-5936C,-59544,-591CD
-4193C,-41806,-418D8
-594BC,-593F7,-5944F
-42421,-420EE,-423FF
-58F66,-58F83,-59268
-414D0,-414E2,-41642
-58EEB,-58FF9,-59003
-415EA,-4143B,-416E2
-58ECA,-58DF3,-58F13
-413C3,-413E0,-412DD
-58DB7,-58DA6,-58EE3
-41331,-41388,-41528
-5903C,-590FF,-58FD3
-412B9,-4137B,-41434
-58DDB,-590D0,-590A4
-413FF,-411ED,-413B9
-5904F,-58C98,-58D1F
-4152C,-413CB,-4143F
-5900E,-58F2D,-58FB4
-414FB,-41402,-412C3
-58F94,-590B4,-58E3A
-414E0,-41612,-41548
-58E85,-5905F,-59002
-4152C,-415AB,-41711
-58CB2,-58DC7,-590BE
-414D1,-414E2,-4159D
-58D20,-58FAC,-58D99
-415A2,-41550,-4138D
-58DFD,-58ED4,-58CC0
-412D7,-41623,-41414
-58F41,-58E4E,-58D59
-41361,-41278,-41426
-58DEA,-58E11,-59003
-4139F,-41457,-4141C
-58E07,-58DB7,-58F40
-415ED,-41580,-41459
-58DD7,-58E78,-58CCE
-41534,-414E5,-41481
-58E57,-58EFF,-58FAD
-413D9,-415E7,-41551
-59139,-59313,-590A6
-4157B,-41514,-41622
-590B8,-59027,-59190
-416DC,-4154A,-41706
-59012,-58E7F,-59217
-41635,-41507,-4162F
-59162,-58EFA,-58EDA
-41527,-4156B,-41542
-590A7,-58F1E,-58EEF
-416EA,-414EA,-414A9
-58F6D,-591A9,-59064
-414C6,-41524,-414AB
-58D9C,-58F57,-58F8A
-41519,-415F0,-41432
-58FFC,-58F3B,-5900A
-41521,-41486,-41420
-58F63,-58E84,-58E52
-413A1,-4130F,-41343
-59052,-58EEF,-59119
-4163F,-41530,-41602
-58ED3,-58D93,-58F71
-41476,-4122E,-412FE
-58DDC,-58FCA,-58F85
-41560,-4122F,-411BA
-58E49,-58DC9,-58BB6
-4152B,-413B8,-412F4
-58C6C,-58FBA,-58F5F
-410DF,-41114,-41122
-58A4F,-58D87,-58C26
-41273,-41317,-41410
-58C7E,-58E91,-58EAA
-413FC,-4131E,-414D7
-58DBE,-58E98,-58EEF
-4146E,-413C7,-4134C
-58DDA,-58E2C,-58F6A
-411FE,-4118C,-41114
-58D5D,-58C82,-58CA8
-4137F,-4119A,-4124C
-58D1C,-58D8A,-58CFD
-41132,-41376,-412F2
-58C59,-58C9F,-58D23
-41211,-412D4,-41340
-58CA3,-58DB2,-58E71
-411C4,-41196,-41033
-58CEA,-58E75,-58F7C
-41203,-412E7,-412D2
-58E3B,-58D55,-58E73
-412B3,-41266,-41227
-58C6C,-58B0D,-58C10
-41102,-4136F,-4138E
-58DA6,-58E60,-58E48
-412C8,-41293,-412DC
-58D60,-58CEF,-58BED
-4128C,-41191,-41384
-58BDA,-58D57,-58DD4
-410B6,-4128A,-4116E
-58AF5,-58C0E,-58B40
-4124E,-41001,-411CA
-58BE3,-58BB1,-58BCB
-412B0,-41412,-412DB
-58F5B,-58E8F,-58FE4
-41354,-4150B,-41571
-58E7D,-58E04,-58D1B
-41473,-4127A,-41258
-58B87,-58F22,-58C7F
-4114F,-4143F,-41288
-58C2A,-58E28,-58D06
-412FC,-4159A,-415DA
-58EF3,-58E35,-58D3E
-41344,-41572,-41522
-58E4F,-58DAD,-58CD5
-41374,-41465,-413A2
-58C8A,-58F09,-58DBE
-412F5,-414A0,-411D0
-58D59,-58F0C,-58F55
-412F3,-412E9,-411C7
-58B8D,-58E42,-58CF7
-4120D,-411B3,-411B0
-58E13,-58F95,-58E0F
-411EB,-41285,-411FF
-58DBD,-58D32,-58C5E
