{'CALIB_RAW_DAC_START_I': 0, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-1E7EB8,-1E7FE3,-1E7F9A
-1FF6C6,-1FF7F1,-1FF794
-1E7BD0,-1E7A70,-1E7C97
-1FF804,-1FF7B6,-1FF834
-1E7C48,-1E7CFD,-1E7D20
-1FF8A6,-1FF7D7,-1FF84C
-1E7DF0,-1E7DF7,-1E7D26
-1FF5C1,-1FF61F,-1FF861
-1E7EE4,-1E7ECB,-1E7EBC
-1FF575,-1FF86D,-1FF6EF
-1E7CCD,-1E7B99,-1E7CE0
-1FF703,-1FF5E9,-1FF8A8
-1E7DC5,-1E7C9D,-1E7D75
-1FF83C,-1FF663,-1FF7CE
-1E7AC6,-1E7B73,-1E7DEA
-1FF601,-1FF811,-1FF72A
-1E7EA6,-1E7C02,-1E7D00
-1FF7E5,-1FF847,-1FF72E
-1E7E09,-1E7C71,-1E7B25
-1FF753,-1FF8C4,-1FF86D
-1E7F12,-1E7D69,-1E7CBE
-1FF987,-1FF8FB,-1FF9A4
-1E7C74,-1E7CB0,-1E7D87
-1FF7A8,-1FF875,-1FF921
-1E7D30,-1E7C95,-1E7CA9
-1FF870,-1FF795,-1FF74C
-1E7CA9,-1E7BD9,-1E7C4B
-1FF8FF,-1FF943,-1FF912
-1E7D49,-1E7CEA,-1E7CF0
-1FF709,-1FF78E,-1FF723
-1E7D95,-1E7BBB,-1E7CD5
-1FF8A2,-1FF711,-1FF792
-1E7DAA,-1E7C6F,-1E7E44
-1FF866,-1FF6B6,-1FF7F6
-1E7D0A,-1E7DC7,-1E7CDB
-1FF7C7,-1FF77C,-1FF803
-1E7D44,-1E7DB3,-1E7E6B
-1FF856,-1FF960,-1FF920
-1E7D85,-1E7ED0,-1E7E41
-1FF975,-1FF81D,-1FF82C
-1E7E9B,-1E7DA2,-1E7EC0
-1FF8C3,-1FF7EB,-1FF727
-1E7D49,-1E7C70,-1E7BDD
-1FF6BD,-1FF816,-1FF7A5
-1E7DB7,-1E7E31,-1E7DF2
-1FF892,-1FF95C,-1FFA7C
-1E7ED5,-1E7CC2,-1E7D66
-1FF82F,-1FF8F7,-1FF97C
