{'CALIB_RAW_DAC_START_I': 393216, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
92FAF,930E6,93078
7B76A,7B6FC,7B5A6
93149,93253,93023
7B557,7B6D3,7B58B
9309F,92FEE,93070
7B6BE,7B700,7B7B4
93004,930F5,9316F
7B7DE,7B8BF,7B6B6
9318E,9322E,931A6
7B6C8,7B6BC,7B6B9
93119,93194,9321A
7B880,7B77C,7B850
93087,93292,9306B
7B4E9,7B577,7B5C6
930BA,931C9,9321B
7B73E,7B7B0,7B661
931D9,92FE6,930A9
7B6D1,7B659,7B764
93130,9311D,92FEC
7B73B,7B621,7B5DC
92FFF,93190,92E5B
7B7E3,7B56A,7B5D7
931CD,92F92,93226
7B61E,7B744,7B6DB
93018,9321B,92FF0
7B69E,7B706,7B8FB
930AD,93094,93050
7B8F3,7B809,7B980
93317,93290,9323B
7B84B,7B737,7B65B
931F5,93286,9325D
7B606,7B6FD,7B712
92FBC,92FAE,9312A
7B770,7B70E,7B7F4
93099,93122,93271
7B7A2,7B6DA,7B534
930F8,9319B,92FEE
7B5B4,7B670,7B8E7
92F2F,930B2,93170
7B6A8,7B933,7B7EE
9331B,93347,931C9
7B893,7B967,7B6D6
931BA,932F7,93414
7B7C6,7BA04,7B7B4
93239,93319,93230
7B7A4,7B741,7B88D
933BC,93148,932D2
7B7BE,7B85D,7BA50
9311B,9328E,9322C
7B9B1,7B899,7B8BE
93214,93231,93049
7B749,7B84A,7B737
930F4,930EC,93096
7B61F,7B732,7B740
93366,9320D,9319A
7B7A3,7B6BA,7B7D0
93221,9326D,93229
7B822,7B915,7B9A7
93262,9330B,9309A
7B82B,7B81E,7B746
932A1,931CD,932ED
7B83B,7B79D,7B700
91E6A,91E87,91E7E
7B586,7B57B,7B523
92FDB,930E2,92FE5
7B661,7B558,7B70F
930BC,92FFD,93068
7B4C3,7B685,7B4C9
93075,92F06,93088
7B521,7B66B,7B7BF
930BA,93087,93143
7B701,7B784,7B59B
930AF,93168,930E4
7B594,7B6AD,7B774
93293,930E8,93076
7B804,7B714,7B730
930C4,92E85,92F0F
7B489,7B3EB,7B549
92FAE,93054,9300A
7B58D,7B55E,7B612
92ECE,92FFB,93010
7B431,7B6F8,7B4DB
92F72,9310E,92F7B
7B5C3,7B5BD,7B566
930B1,931C4,930D8
7B7C3,7B637,7B6A4
9316D,93226,931A9
7B7A7,7B718,7B7A5
93027,93171,930DF
7B687,7B8F7,7B672
932E8,9310E,931F3
7B7A4,7B7C8,7B654
93090,93284,93206
7B8E5,7B6E9,7B6B0
93222,933FC,930DD
7B8FB,7B6C5,7B75C
932C8,9315B,931DB
7B747,7B817,7B71E
931C7,931C6,93205
7B813,7B758,7B7C1
9324E,93241,932A1
7B7AD,7B890,7B835
933C2,932BB,9333D
7B7FA,7B9B9,7B9BB
9339B,9328E,932CF
7B854,7B899,7B7A3
933DB,9325E,932B1
