{'CALIB_RAW_DAC_START_I': 1015808, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
1C5C3E,1C581B,1C58C5
1ADE78,1ADE53,1ADD49
1C57A9,1C5909,1C58CA
1AE008,1ADBC7,1ADE52
1C57CD,1C593D,1C57EC
1ADE1E,1ADD21,1ADDC4
1C5828,1C570B,1C58DE
1ADDA1,1ADC79,1ADC08
1C57A0,1C584C,1C57F2
1ADD50,1ADE17,1ADD2E
1C5ADF,1C5898,1C57BB
1ADED0,1ADDAC,1ADCC3
1C5903,1C588A,1C5728
1ADD92,1ADED5,1ADE11
1C57E9,1C5648,1C5783
1ADEE9,1ADD12,1ADE48
1C596C,1C5A69,1C579B
1ADDB9,1ADE0A,1ADE80
1C5356,1C53F3,1C5339
1AD8BC,1ADA24,1AD656
1C522E,1C52A0,1C50BA
1AD831,1AD813,1AD8D2
1C5069,1C53A7,1C50DE
1AD6E9,1AD71B,1AD748
1C5323,1C530A,1C51F0
1AD8B0,1AD77F,1AD7F6
1C51D4,1C5459,1C5249
1AD951,1AD799,1AD7D2
1C5197,1C5244,1C51BD
1AD891,1AD683,1AD659
1C51A8,1C524A,1C5176
1AD70F,1AD8B2,1AD7F3
1C5026,1C5228,1C5328
1AD766,1AD925,1AD7C9
1C5195,1C5275,1C50B2
1AD4E7,1AD81F,1AD6D0
1C51F1,1C500B,1C522C
1AD4E3,1AD65E,1AD539
1C511D,1C51D3,1C5090
1AD5AC,1AD64F,1AD5F0
1C51C8,1C50F2,1C50A7
1AD801,1AD656,1AD6F0
1C51DF,1C510F,1C5134
1AD822,1AD701,1AD615
1C51BB,1C51C9,1C51FE
1AD6A8,1AD74E,1AD504
1C50C3,1C5172,1C50BA
1AD597,1AD5FB,1AD7CF
1C511D,1C5192,1C5138
1AD85A,1AD509,1AD80B
1C4F29,1C4F47,1C50C3
1AD573,1AD422,1AD421
1C4F7B,1C50EC,1C507A
1AD7AB,1AD6E9,1AD5C7
1C5299,1C5071,1C5071
1AD712,1AD5DE,1AD5E7
1C5011,1C4E95,1C4F82
1AD482,1AD5A5,1AD81C
1C5080,1C507C,1C4FA2
1AD6B0,1AD674,1AD3E4
1C501E,1C4E95,1C5171
1AD753,1AD7F8,1AD6D9
1C51C8,1C510D,1C50A3
1AD6DE,1AD61C,1AD713
1C5232,1C518D,1C4F68
1AD60A,1AD4DF,1AD5FC
1C5224,1C50DF,1C4FB6
1AD657,1AD62F,1AD678
1C512E,1C51BE,1C4FFF
1AD5F6,1AD5A3,1AD5DD
1C5070,1C50F8,1C5081
1AD7CF,1AD75F,1AD557
1C4FFE,1C520A,1C50C3
1AD39A,1AD410,1AD57E
1C4F6D,1C503A,1C4F9F
1AD61D,1AD5AA,1AD50E
1C4FE9,1C4F3E,1C4F28
1AD5A4,1AD5C1,1AD60A
1C5010,1C5021,1C5061
1AD450,1AD632,1AD63E
1C4FEA,1C503C,1C4E02
1AD4B7,1AD69D,1AD631
1C5051,1C5025,1C4E77
1AD371,1AD2E4,1AD427
1C4E32,1C4F17,1C5066
1AD462,1AD398,1AD523
1C4EE6,1C504E,1C4F52
1AD52C,1AD439,1AD412
1C4F75,1C4FC3,1C4D8B
1AD27E,1AD38A,1AD415
1C4D96,1C4E99,1C4FCD
1AD4F3,1AD558,1AD5CE
1C4DA9,1C4E2A,1C50A1
