{'CALIB_RAW_DAC_START_I': 425984, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-3C30B,-3C332,-3C2F3
-53CED,-53D0E,-53D5D
-3C43B,-3C461,-3C324
-53E9B,-53E53,-53D71
-3C2FF,-3C41B,-3C402
-53BED,-53D55,-53C16
-3C330,-3C30E,-3C2F2
-53C79,-53D83,-53D5F
-3C2E8,-3C39F,-3C307
-53C21,-53F06,-53DF7
-3C31E,-3C2E3,-3C249
-53C9C,-53BDB,-53BB3
-3C2B3,-3C278,-3C100
-53DF9,-53EF0,-53D5F
-3C25F,-3C411,-3C3BA
-53D19,-53E66,-53C3B
-3C303,-3C35D,-3C417
-53C10,-53E2E,-53EDF
-3C323,-3C13E,-3C37B
-53DE2,-53A70,-53D0E
-3C0E7,-3C183,-3C23C
-53D71,-53D61,-53E40
-3C2FD,-3C5D1,-3C383
-53D67,-53E9F,-53E29
-3C3C2,-3C317,-3C35E
-53EB0,-53EFB,-53D41
-3C361,-3C549,-3C55A
-54020,-53E99,-53E37
-3C3EA,-3C3E9,-3C2CE
-53CFD,-53DBE,-53D99
-3C36E,-3C279,-3C1F0
-53C67,-53CD2,-53CCD
-3C37F,-3C1BD,-3C2B2
-53DAB,-53E97,-53ECD
-3C349,-3C3B3,-3C36D
-53C2B,-53E8E,-53E8B
-3C8FD,-3C7AF,-3C91F
-53896,-537F2,-538E1
-3BF3A,-3BF84,-3BE1B
-53916,-539E0,-53976
-3C018,-3BE1B,-3BE0F
-539E1,-5390F,-53AC2
-3BF67,-3BF4F,-3BF53
-53998,-53A82,-53A19
-3BE6D,-3BE64,-3BF46
-539EF,-539A6,-53928
-3C0C1,-3C01D,-3BF8B
-53965,-5399B,-5396A
-3BFD1,-3BF3F,-3BFE9
-53C16,-53B5B,-53C15
-3C2D8,-3BFF6,-3C0C4
-53AD9,-53924,-539B9
-3BF00,-3BE09,-3BE52
-53B37,-53A06,-53826
-3BF43,-3C1BD,-3BF6A
-53AFB,-53B4C,-53B65
-3C1B0,-3C054,-3BFD3
-53B10,-53A1E,-53A64
-3C1EE,-3BF71,-3BF9D
-53B6B,-53AFE,-53B47
-3C06E,-3C177,-3C048
-53AB9,-53BC0,-53AD9
-3C294,-3C2EB,-3C2DB
-53D1F,-53DB4,-53C57
-3C21C,-3C171,-3C27B
-53C85,-53B7D,-53AAD
-3C042,-3C10B,-3C01B
-53AC4,-53CCA,-53C28
-3C04D,-3C187,-3C030
-53794,-53930,-53918
-3BF45,-3BF22,-3BEE3
-53978,-53991,-53953
-3BFDB,-3BCD8,-3BD49
-53878,-53A7A,-53914
-3BE85,-3BEAB,-3C115
-539F6,-53B24,-53C2A
-3BF89,-3BF57,-3BF00
-53BC8,-53A03,-53ABB
-3BFDB,-3BEA2,-3C019
-53ABC,-53B44,-53B1B
-3C0BE,-3C166,-3C004
-53A9C,-539A7,-53B92
-3BF99,-3C0A3,-3BF9D
-53A5B,-539F8,-539D6
-3BD24,-3BF64,-3C072
-53BAE,-53961,-53AD8
-3C0BC,-3C0C4,-3C186
-53BF6,-53D5A,-53B53
-3C17E,-3C02B,-3C03D
-539FE,-53C03,-53C9A
-3C092,-3C1C8,-3C1E1
-53B29,-53AD4,-53B62
-3C19A,-3BF37,-3BFFC
-539E9,-53A01,-539EC
-3C2CA,-3C0E7,-3C17C
-53C26,-53D21,-53A83
-3BF55,-3C0A5,-3C084
-53C5C,-53DF1,-53CF6
-3C37B,-3C367,-3C0E0
-53C15,-53D30,-53CF1
-3C18B,-3C036,-3C16D
-53C2A,-53D68,-53CC5
-3C29D,-3C46E,-3C248
-53DCA,-53F4A,-53E61
-3C6A0,-3C495,-3C3AE
-53E2C,-53DEF,-53E78
-3C49E,-3C440,-3C3A9
-53F9D,-53DFB,-53F0A
-3C493,-3C504,-3C4B2
-53E8B,-53F1F,-53F31
-3C502,-3C56D,-3C350
-53F5B,-53F8A,-54056
-3C2D7,-3C588,-3C624
-53F56,-53ED7,-53F2C
-3C53B,-3C526,-3C47B
-53EF7,-53E54,-53E7A
-3C3B8,-3C5BD,-3C546
-53F50,-53E68,-53E23
-3C68D,-3C42A,-3C438
-53BF6,-53F0E,-53E60
-3C379,-3C36A,-3C318
-53E84,-53DFF,-53F07
-3C6AC,-3C3D6,-3C4D3
-53C96,-53D36,-53DFE
-3C394,-3C40F,-3C60A
-53F4B,-53EEF,-53CF5
-3C5D6,-3C5A7,-3C6E0
-53F14,-54156,-53F2C
-3C5A9,-3C40E,-3C5A9
-54103,-5402B,-5411B
-3C62C,-3C546,-3C597
-542B7,-541C4,-54143
-3C442,-3C407,-3C560
-53DE6,-53DC9,-53CD1
-3C39D,-3C367,-3C455
-540E3,-53FE9,-541D1
-3C4D0,-3C5A1,-3C498
-53EB1,-54147,-5406B
-3C4D6,-3C363,-3C42D
-53CC3,-53F2A,-53E66
-3C3A5,-3C2C3,-3C59A
-53E98,-53D73,-53DE1
-3C50A,-3C1F9,-3C4BF
-53E24,-53E51,-53CEB
-3C472,-3C5C8,-3C2B1
-53D4D,-53DBC,-53EEF
-3C322,-3C46F,-3C4DF
-53D04,-53E7F,-53E99
-3C360,-3C392,-3C365
-53F11,-53EBD,-53F56
-3C325,-3C3F0,-3C4E6
-53FCE,-53C5F,-53EB3
-3C4FD,-3C4F0,-3C62D
-53FAA,-53F9D,-53D7B
-3C59E,-3C534,-3C62D
-53EAB,-53FCA,-54286
-3C638,-3C5C3,-3C6E4
-540D9,-540BD,-53EEA
-3C69D,-3C56B,-3C62A
-5409F,-53E3A,-5405D
-3C5A1,-3C5AA,-3C54D
-54073,-53F69,-54029
-3C52B,-3C685,-3C4F2
-53F2D,-540BE,-53EA3
-3B9CB,-3B89C,-3B986
-52EA3,-52D9C,-52B5C
-3B44F,-3B41F,-3B534
-52DE1,-52DDD,-52E63
-3B4C0,-3B461,-3B314
-52F9F,-52E44,-52D8D
-3B576,-3B58D,-3B256
-52F4A,-52FB2,-53002
-3B4B5,-3B6E8,-3B63A
-5301C,-52FFF,-52FD7
-3B6BC,-3B6E1,-3B4FD
-52FBB,-52E5E,-52FF5
-3B346,-3B492,-3B411
-52F23,-52F10,-52ECE
-3B440,-3B73D,-3B66F
-52E28,-52ED7,-52DFE
-3B5F5,-3B43A,-3B4D1
-52F41,-5311D,-53060
-3B490,-3B553,-3B307
-52F80,-53062,-530CF
-3B3D6,-3B5AF,-3B671
-52F81,-52E47,-53040
-3B6E3,-3B6D4,-3B5C8
-52F01,-5301B,-52F5C
-3B545,-3B571,-3B5D5
-52D50,-52ECF,-5300E
-3B5C2,-3B750,-3B64F
-52F0C,-52E5A,-5306D
-3B544,-3B4AC,-3B493
-52F33,-53103,-53117
-3B646,-3B65C,-3B5F7
-53071,-53357,-5310C
-3B771,-3B677,-3B6DF
-52EB8,-52F99,-52D08
-3B53B,-3B6DF,-3B54C
-5304E,-52F7B,-5309A
-3B433,-3B43D,-3B710
-52F6F,-52FE5,-52FCD
-3B657,-3B5C0,-3B47C
-52F74,-52FC1,-53003
-3B61C,-3B4A9,-3B59A
-52F93,-52FCD,-53074
-3B5D6,-3B37F,-3B62A
-530C4,-53181,-531D7
-3B5A2,-3B596,-3B68C
-53155,-52EF4,-530D9
-3B734,-3B5DD,-3B5D2
-52F2E,-52EF1,-531C8
-3B408,-3B4C6,-3B53C
-52EAF,-52F3F,-53172
-3B825,-3B768,-3B67D
-53072,-5306B,-5311D
-3B75A,-3B69A,-3B6E1
-53056,-530F0,-5316C
-3B57D,-3B472,-3B556
-52FAC,-5316B,-530A3
-3B6DF,-3B755,-3B724
-530F2,-5315A,-53286
-3B7BB,-3B7EB,-3B789
-53205,-531B6,-53363
-3B77F,-3B4EC,-3B673
-531D2,-53373,-530D3
-3B7CF,-3B6E2,-3B774
-531B9,-531A7,-533EC
-3B8CC,-3B8B3,-3B802
-53582,-533CB,-535A7
-3BB02,-3B9BA,-3B879
-5339F,-5358D,-53331
-3B9D0,-3BA24,-3B8E8
-534D8,-53465,-533E3
-3BA24,-3BAF6,-3BA11
-532DC,-5339B,-53475
-3B9F0,-3B68C,-3B8C7
-533E2,-531C1,-533A8
-3B76E,-3B95C,-3B9CD
-5341F,-532F2,-533FD
-3BA8B,-3BA80,-3B9D0
-53499,-53456,-533B6
-3BA1B,-3BA64,-3B9B8
-53509,-5357C,-5359A
-3B7FD,-3B9BF,-3B9C7
-53609,-535B8,-533B8
-3B9DE,-3BA8A,-3BB24
-5343C,-53515,-5340D
-3BA68,-3B912,-3BA24
-53574,-53646,-534DF
-3BB70,-3BA60,-3BAAD
-5341F,-5350D,-53588
-3B9EC,-3B9B5,-3B98C
-53495,-53629,-5363C
-3BB24,-3BB1C,-3BBEF
-5360D,-5377B,-53594
-3BB38,-3BBFA,-3BB6F
-53628,-535FB,-53537
-3BB95,-3BAAA,-3BC84
-5348E,-53632,-5358A
-3BAC4,-3BCC7,-3BBBA
-533B0,-532DC,-532A9
-3B94B,-3B91B,-3B8AA
-533CA,-5342E,-53459
-3B943,-3B9E2,-3B9A4
-5359B,-53542,-53530
-3BAB4,-3BA41,-3B96C
-533C4,-53640,-53639
-3BB55,-3BB46,-3BB53
-535CB,-53583,-53448
-3B955,-3BB74,-3BAB1
-5341A,-5359E,-53406
-3BBFF,-3BAFE,-3BA96
-53464,-535A3,-53653
-3BB2B,-3BA68,-3BAF8
-535CC,-5363B,-53682
-3B8D9,-3BAC7,-3BACB
-533F5,-53679,-536DB
-3BB3E,-3BA2F,-3B9B8
-53478,-5351D,-5347D
-3B9EB,-3BB1C,-3BB59
-5356F,-5356B,-5353B
-3BB1A,-3BC80,-3BC17
-535B3,-53705,-5342F
-3BB6D,-3BCB8,-3BAD1
-536FE,-5360A,-53501
-3BBDA,-3B99D,-3BA79
-535B9,-535F2,-537EB
-3BC63,-3BCCD,-3BF2D
-53710,-5371B,-538DF
-3BC92,-3BBC8,-3BC8D
-53857,-538BA,-53896
-3C0DF,-3C095,-3C17E
-53227,-531E9,-531AC
-3B8A6,-3B8F9,-3B94F
-531DB,-530FD,-52F2F
-3B74A,-3B520,-3B890
-532B1,-530BD,-531B7
-3B7E0,-3B5EA,-3B7A7
-53262,-53126,-530FD
-3B7DB,-3B6BA,-3B63D
-53133,-53160,-530B2
-3B68E,-3B716,-3B6B6
-52F7C,-53137,-53221
-3B770,-3B79C,-3B778
-530C2,-53233,-53169
-3B816,-3B5B6,-3B829
-53324,-531DF,-532DC
-3B6BF,-3B6BF,-3B676
-53158,-532FB,-53222
-3B7E1,-3B7C4,-3B901
-531FB,-53301,-52FF9
-3B825,-3B972,-3B7F9
-53232,-5339E,-5337F
-3BA84,-3B9A8,-3B80A
-5336F,-532BA,-53359
-3B8BA,-3B757,-3B653
-5346F,-531A7,-5319C
-3B895,-3B80E,-3BA10
-533D9,-532C2,-53313
-3B8EC,-3B6AF,-3B82B
-5342F,-53296,-5326B
-3BB3B,-3B81D,-3B8A6
-534C3,-535BE,-5346F
-3B9A7,-3B8E6,-3B80F
-53176,-5310C,-53030
-3B8E7,-3B870,-3B769
-53071,-53061,-530BD
-3B820,-3B648,-3B74B
-53080,-5305A,-5317C
-3B55A,-3B744,-3B594
-531EC,-533F7,-5339C
-3B683,-3B6E1,-3B789
-5332A,-533B4,-5335A
-3B809,-3B8CC,-3B806
-53228,-532A5,-533A3
-3B71B,-3B801,-3B892
-532FC,-530DF,-530C7
-3B70F,-3B941,-3B8F3
-532D1,-532E2,-53369
-3B430,-3B4C5,-3B5C5
-53111,-533CA,-53246
-3B84C,-3B7F3,-3B78E
-53460,-53364,-532F7
-3B8CC,-3B8AB,-3B906
-532F7,-5341F,-5313B
-3B8A6,-3B7A2,-3B774
-533B1,-533D2,-5334E
-3B8BC,-3B753,-3B6A7
-532BF,-53337,-533C0
-3B9BC,-3B8D6,-3B71F
-53292,-533ED,-532B0
-3B92A,-3B8D1,-3B96F
-534D2,-5332C,-5345F
-3B90E,-3B9DB,-3B917
-53322,-534D4,-531E4
-3BB2F,-3BBE0,-3B9ED
-5359F,-5379D,-536E6
-3BC91,-3BAF4,-3BBDA
-53650,-53603,-536F4
-3BC1C,-3BC05,-3BD3F
-5394E,-5398E,-53888
-3BC57,-3BD7E,-3BEE0
-53885,-53998,-539A9
-3BD4A,-3BD86,-3BB65
-535EF,-537B7,-537A0
-3BCC0,-3BD17,-3BE24
-53652,-53565,-537FA
-3BE60,-3BCE6,-3BC71
-53812,-5379E,-5399D
-3BD4B,-3BE3B,-3BDD6
-5379F,-53900,-538BE
-3BDB1,-3BC38,-3BC84
-53726,-537AF,-53A95
-3BF0B,-3BD5C,-3BE65
-53810,-537A3,-537D0
-3BF78,-3BE47,-3BE0C
-53AF3,-53880,-53BA3
-3BF2C,-3BDDB,-3BFA0
-5389D,-53863,-5383E
-3BD7B,-3BCFC,-3BECE
-5388A,-536C6,-538AB
-3BE9A,-3BF0D,-3BE0C
-537CE,-535F9,-53AF4
-3BF36,-3BD0C,-3BC57
-5385E,-537D6,-537EA
-3BEBD,-3BFB3,-3BDB9
-53809,-537B6,-5397F
-3BDE5,-3BEC6,-3BBE6
-534EF,-53628,-53561
-3BBA5,-3BCD8,-3BB27
-53627,-535CC,-536E2
-3BD7B,-3BD3A,-3BCD2
-53636,-537D1,-53641
-3BC9F,-3BDE4,-3BEF0
-53834,-53915,-53A1F
-3BDB5,-3BED8,-3BD6E
-536F7,-538C5,-53895
-3BD37,-3BD83,-3BF5C
-536F7,-538DF,-5380C
-3BF25,-3BD3C,-3BD72
-53A3F,-539D6,-5382C
-3BE93,-3BDBF,-3BCB8
-5387C,-53841,-5378D
-3BDA5,-3BC4B,-3BDD4
-538E7,-53688,-53853
-3BE4B,-3BE8B,-3BF6E
-539F4,-5393C,-53982
-3BFD4,-3BD5B,-3BEAF
-535D8,-538EB,-53793
-3BE52,-3C046,-3BFB1
-539A7,-53AC4,-538AE
-3BE90,-3BC29,-3BD27
-538BB,-53923,-5384F
-3C10F,-3BF05,-3BDB3
-53851,-53B1D,-538EC
-3BE19,-3BE2E,-3BF45
-5399C,-53A72,-53C0C
-3C041,-3BF03,-3BFA4
-538E5,-53A47,-53BFD
-3CADA,-3C9E6,-3CAAA
-5357B,-53567,-53550
-3BBCB,-3BB3E,-3BADE
-534E8,-53524,-535A5
-3B9F1,-3BA8F,-3BA98
-53416,-53697,-536EA
-3BB8E,-3BB68,-3BAD5
-535D6,-533E1,-5362A
-3BCCA,-3BA30,-3B8A4
-532B5,-534DD,-536FA
-3BC68,-3BBE9,-3BB67
-5358E,-534D3,-53717
-3B9EF,-3BADE,-3BAD8
-5369A,-536CB,-535AA
-3BD73,-3BD02,-3BB95
-53672,-536CC,-536B7
-3BAC9,-3BAB3,-3BCDC
-535BD,-535B8,-53524
-3B9E1,-3BB10,-3BBA4
-53615,-535C2,-53564
-3BAD0,-3BAC2,-3BBD2
-5361B,-53723,-535B9
-3BB7E,-3BC33,-3BDBB
-53765,-53891,-536D9
-3BD67,-3BBEF,-3BBFE
-537E5,-53693,-535DE
-3BC8A,-3BA3A,-3B929
-536BD,-535B6,-53722
-3BD21,-3BD34,-3BD6D
-53697,-536BA,-536DE
-3BE23,-3BD4A,-3BDE4
-53734,-537D6,-53706
-3BC32,-3BBDC,-3BE0F
-53610,-53668,-53528
-3BA4D,-3B90C,-3B91B
-534D1,-5337E,-5323E
-3B9DC,-3B904,-3B92C
