{'CALIB_RAW_DAC_START_I': 720896, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
F68C9,F6652,F678A
10E0AF,10E0DC,10E285
F67F4,F6625,F65F9
10E10F,10DEBE,10E126
F6604,F6742,F6629
10E041,10E089,10E099
F6763,F6532,F6657
10E32B,10E10C,10E1BF
F6650,F678A,F65AB
10E12D,10E078,10DEA8
F6597,F65C5,F65B6
10E16D,10E06A,10DE30
F6510,F65CA,F63C0
10DF28,10E089,10E057
F6665,F6456,F6600
10E128,10DF4D,10E15B
F6634,F65CA,F64F7
10DE9B,10E05B,10E1EE
F663B,F662B,F6330
10DEDB,10DFD6,10DF47
F652F,F6198,F6307
10DEEE,10DF13,10DEE1
F64D9,F63CD,F6403
10DE2A,10DF15,10DFF9
F6385,F6493,F644E
10DFA2,10DF8E,10DFAF
F643B,F645C,F643C
10DF14,10DE72,10DE74
F65EA,F64E5,F6459
10DCBF,10DDD6,10DD47
F6429,F62F6,F65B0
10DEDF,10E039,10E05A
F67A1,F676E,F6593
10E080,10DEB2,10DFF8
F6747,F6762,F62FA
10E064,10E161,10DFEB
F6621,F65C8,F6628
10E1B2,10E069,10E005
F63E9,F651C,F648C
10E055,10DE11,10E001
F6583,F64C5,F64A3
10DE0D,10DED6,10DF29
F6493,F64E0,F64B3
10DFE8,10DF2E,10DE40
F6277,F656C,F6698
10DF03,10DF88,10E053
F65FF,F6495,F64B4
10DF3B,10E0B4,10DF53
F6323,F629C,F6592
10DF35,10DF1F,10E26A
F6543,F66AD,F6673
10DEBF,10E032,10DF16
F6436,F631C,F6435
10DBD7,10E0CD,10DD4F
F641A,F62B7,F61C6
10DD8F,10DE3C,10DF84
F64B7,F647F,F63B6
10DE6E,10DEF0,10DC4A
F6474,F6431,F623A
10DDE4,10DDC5,10DE94
F64FD,F6261,F630D
10DBE5,10DC39,10DCC7
F635E,F61F8,F636F
10D7C1,10D9DC,10D9A4
F67B7,F6978,F6859
10E174,10E1D8,10E378
F68BC,F694C,F67E5
10E34D,10E0C6,10E38C
F67A0,F696C,F685D
10E2CE,10E19B,10E1C5
F6824,F663C,F68AD
10E286,10E3D6,10E11A
F65E3,F689F,F6833
10E2C6,10E28E,10E3DB
F6856,F66BA,F67DB
10E221,10E372,10E3A6
F6961,F678A,F66DC
10E157,10E229,10E2F2
F6629,F64CA,F6714
10E267,10E21D,10E40C
F6957,F6689,F66AE
10DF95,10E038,10E12E
F695D,F6822,F668C
10E258,10E19C,10E35D
F6806,F6965,F67E2
10E18B,10E24E,10E1FB
F68BD,F66DA,F672C
10E009,10E0F3,10E1B1
F66C7,F6510,F66C0
10E057,10E1BE,10E237
F6535,F66FA,F6655
10E048,10E0D6,10DE4F
F668C,F66F2,F6597
10E245,10DF9E,10DFAC
F65D4,F65C0,F6453
10DFD0,10E1A5,10E085
F68CF,F6854,F689C
10E2DC,10E224,10E32A
F68DD,F6841,F6892
10E489,10E3FA,10E2C9
F69BF,F6990,F673F
10E102,10E191,10E10D
F66E2,F67F1,F699F
10E224,10E1DC,10E143
F6770,F682E,F68E0
10E132,10E35E,10E31F
F67AB,F673C,F6873
10E15E,10E237,10E10F
F6650,F68B4,F6849
