{'CALIB_RAW_DAC_START_I': 884736, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-89D01,-89B36,-89BC9
-71FF1,-720EC,-7205C
-89AFD,-89AE7,-89C27
-71FFE,-722C4,-7221F
-89CA5,-89D97,-89C76
-72276,-724DA,-72445
-89E0C,-89DF7,-89CF5
-721C2,-7221E,-721DF
-89D1A,-89D8E,-89C1B
-7224D,-721FA,-722CE
-89CE2,-89DDA,-89C63
-7224D,-72306,-720F2
-89C3C,-89D83,-89DEC
-72211,-7233F,-7236A
-89D76,-89B89,-89C32
-7214F,-7209E,-72243
-89AEB,-89DFB,-89B70
-722F9,-72161,-7204B
-89ACC,-89C9D,-89AB7
-72019,-7203A,-72157
-89B86,-89C2C,-89A7E
-72204,-721F5,-72145
-89B68,-89C42,-89C6E
-72105,-72206,-72254
-89DB7,-89D52,-89BCA
-72362,-71F95,-71FD6
-89B7E,-89C90,-89BCB
-72199,-72076,-721A7
-89D2A,-89ACA,-89C0D
-72022,-720B8,-72248
-89B3E,-899F0,-89AAA
-71FCA,-72184,-7223E
-89B2D,-89955,-89B5B
-7203D,-71FDA,-71FAE
-898A9,-89970,-899A4
-71E57,-71E04,-71E3E
-897A6,-8992B,-89965
-71EC2,-71E75,-71E53
-899BB,-89973,-89898
-71F8C,-71F93,-71F6F
-8987A,-898B0,-89906
-71ECC,-71D4A,-71E1A
-8984D,-898A9,-8974F
-71E4C,-71E82,-71D3E
-89822,-8983E,-898B8
-71F10,-71D22,-71D9C
-899ED,-8991D,-898B0
-71D1F,-71F42,-71CAD
-89AB3,-8981E,-89700
-71EC8,-7218A,-71D49
-89862,-898C7,-899A0
-71D80,-71D6B,-71D66
-899DB,-89772,-8976D
-71CAE,-71D24,-71E01
-89765,-897F5,-897A9
-72097,-71D9D,-71E0E
-8993F,-8996D,-897AF
-71F9C,-7203E,-71FD7
-89A7E,-89AA3,-8999F
-71F25,-71EE0,-71F34
-898C2,-899C7,-89837
-71FF0,-71C77,-71DFF
-89A6E,-89859,-8966F
-71DF8,-71D81,-71EE7
-8988E,-89943,-89A18
-71DAD,-71DA6,-71C9B
-8973A,-897D0,-89923
-71F4D,-71EAD,-72030
-89912,-89AA1,-89AF4
-71F49,-7213D,-71FDD
-898B8,-89908,-899F7
-71DBF,-71F81,-71F23
-89947,-8994C,-89938
-71ECF,-71FF1,-72004
-89A74,-89850,-89A8F
-721D9,-71EB9,-71FC2
-89AB4,-89A28,-89999
-7214B,-71FD1,-72142
-89A54,-89A67,-89A82
-71F6F,-7213A,-71F76
-89A67,-899CE,-89848
-72111,-720CD,-71EE0
-8995A,-899D6,-89A67
-71EB3,-71EEB,-71D2E
-8993D,-89A1F,-8999A
-7205D,-72107,-72103
-898CB,-8992E,-89913
-71F5A,-71D9E,-71F2B
-8996B,-89980,-89A13
-71FED,-71F0A,-71F9F
-8982B,-89A7B,-89A63
-71F4F,-720B2,-71F0B
-89919,-8993A,-89A62
-72150,-72087,-72106
