{'CALIB_RAW_DAC_START_I': 98304, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-18BB97,-18BA0B,-18B9B8
-1A3632,-1A34F3,-1A373B
-18BAD7,-18BA43,-18BB17
-1A35DC,-1A3674,-1A3512
-18BAB7,-18B98B,-18BC73
-1A3464,-1A35AF,-1A347B
-18B915,-18BA22,-18B90B
-1A37D6,-1A3723,-1A36A0
-18BC3D,-18BAF0,-18BC74
-1A36CD,-1A3597,-1A374C
-18BD8B,-18BB9D,-18BC2A
-1A38EF,-1A36E2,-1A3788
-18BD55,-18BB3B,-18BB5A
-1A3768,-1A3607,-1A37A4
-18BCFA,-18BD78,-18BC77
-1A3654,-1A35E3,-1A3823
-18BC7A,-18BD59,-18BCDB
-1A35B9,-1A36A5,-1A36FB
-18BBFD,-18BD4F,-18BD7B
-1A3779,-1A3647,-1A3681
-18BC6F,-18BBFD,-18BCA0
-1A356E,-1A35AF,-1A3718
-18BC3B,-18BD23,-18BC92
-1A37E3,-1A37B6,-1A366D
-18BCFD,-18BD42,-18BDE1
-1A383A,-1A3719,-1A3736
-18BC4D,-18BDB6,-18BBDF
-1A373F,-1A38CC,-1A3802
-18BE81,-18BDD3,-18BD1D
-1A37FC,-1A3862,-1A37FE
-18BCA6,-18BC16,-18BB2D
-1A38E9,-1A3681,-1A3647
-18BD8A,-18BB90,-18BF54
-1A3726,-1A3678,-1A36AB
-18BC9A,-18BC50,-18BC28
-1A3737,-1A3783,-1A3999
-18BD2B,-18BF8E,-18BED3
-1A3782,-1A376B,-1A3902
-18BEC9,-18BCC5,-18BD5E
-1A3969,-1A3936,-1A3983
-18BDED,-18BE85,-18BEC5
-1A3784,-1A3842,-1A3726
-18BF18,-18BCC2,-18BE4C
-1A388B,-1A3A28,-1A395C
-18BE0C,-18BE16,-18BE5E
-1A37EE,-1A3904,-1A3878
-18BDEA,-18BE4C,-18BEB6
-1A38CC,-1A374E,-1A393A
-18BC2F,-18BD67,-18BE27
-1A389D,-1A380F,-1A3852
-18BDF6,-18BC65,-18BE10
-1A38E3,-1A38B0,-1A3A4A
-18BD7A,-18BE75,-18BE6C
-1A36C1,-1A3835,-1A3857
-18BD07,-18BF4B,-18BE1F
-1A3867,-1A3858,-1A37D7
-18BF75,-18BEFD,-18BD9E
-1A38A2,-1A38B6,-1A3A34
-18BE3A,-18BE1E,-18BEF1
-1A371E,-1A371E,-1A38A7
-18BE3F,-18BC65,-18BF77
-1A3723,-1A3AB4,-1A376F
-18BE2E,-18BDA1,-18BD86
-1A38B4,-1A398B,-1A3848
-18BD7F,-18BD61,-18BC50
-1A394D,-1A3760,-1A3899
-18BE39,-18BDEF,-18BD77
-1A384E,-1A37D2,-1A3891
-18BAAE,-18BCC5,-18BE12
-1A385C,-1A367D,-1A3901
-18C299,-18C234,-18C1F0
-1A3B2B,-1A3DA9,-1A3C76
-18C1E7,-18C27E,-18C322
-1A3E1D,-1A3D9A,-1A3D16
-18C460,-18C45B,-18C274
-1A3F03,-1A3ED9,-1A3F36
-18C24A,-18C408,-18C3AD
-1A3B37,-1A3D42,-1A3C48
-18C4CD,-18C2EF,-18C45B
-1A3C2B,-1A3C40,-1A3BCB
-18C268,-18C200,-18C2C7
-1A3C90,-1A3BF1,-1A3EA8
-18C1B1,-18C37C,-18C0DB
-1A3C3D,-1A3C22,-1A3CA7
-18C3A9,-18C36F,-18C2C8
-1A3E03,-1A3DF0,-1A3CB3
-18C3D9,-18C1A1,-18C3A0
-1A3FCC,-1A40A2,-1A3FA1
-18C315,-18C2BE,-18C26B
-1A3E6D,-1A3DE0,-1A3D3C
-18C33D,-18C407,-18C3F8
-1A3D1B,-1A3EF6,-1A3D0F
-18C2F7,-18C371,-18C307
-1A3E18,-1A3F08,-1A3EB9
-18C403,-18C2AD,-18C2EA
-1A3F88,-1A3E10,-1A3D6C
-18C324,-18C283,-18C306
-1A3D06,-1A3D0F,-1A3E05
