{'CALIB_RAW_DAC_START_I': 425984, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-123F1,-12556,-12451
-29DA3,-29E76,-29FD9
-125BF,-12423,-1255E
-29E46,-29F98,-29DF1
-12527,-125A0,-123AA
-2A06C,-2A11C,-29E3E
-12509,-12364,-125BC
-2A0AD,-29E1F,-29ED2
-1254A,-124B6,-1247A
-29FA9,-29E97,-29D6F
-124B6,-123C6,-12434
-29EC9,-29E0F,-29F2C
-12367,-12487,-12664
-29EF8,-29F0B,-29E93
-121B2,-122DA,-124B4
-29F4F,-29FEE,-29EA6
-124B0,-124F2,-123E5
-29F44,-29F10,-29FC9
-123E8,-1259C,-124AA
-29C49,-29FCE,-29EEF
-12633,-12431,-125D4
-2A09A,-29E77,-2A06E
-12466,-125CE,-1239F
-29F19,-29F0A,-29E6C
-125D7,-125D0,-124C1
-29EBF,-29EF9,-29C45
-12468,-122CE,-12548
-29F33,-29DBE,-29ECD
-1247B,-12497,-12267
-29E1F,-29E40,-29D8B
-125E0,-1241E,-123C9
-29F8E,-2A19F,-2A02A
-12678,-12780,-1253F
-29E0D,-29F2C,-2A0DD
-12485,-123DA,-124B3
-29D7D,-29FB5,-29E84
-1258D,-122B8,-1267A
-29E08,-29DE2,-29E33
-12237,-123D3,-124FC
-29D8B,-29F3F,-29DFE
-123AA,-1227D,-124AB
-29CBE,-29CED,-29EA3
-12473,-1230C,-12333
-29DF0,-29D92,-29CEF
-122AF,-12473,-1225F
-29AC1,-29D6D,-29EF4
-12156,-123CD,-12486
-29E2A,-29D4C,-29D80
-12417,-1262B,-125DF
-29FFD,-29F19,-2A026
-12305,-1249A,-1241F
-2A02D,-29D7F,-29FD0
-1226B,-125DC,-12526
-2A037,-29EE7,-2A07E
-12546,-1244D,-123F8
-29F13,-29EE5,-29E8D
-1251F,-124B3,-125A8
-29DD6,-29F31,-29E5A
-123F1,-12261,-1244E
-29F54,-29DE9,-29DD9
-1245F,-12406,-1258E
-29DB3,-29E68,-29BB3
-1223F,-1229A,-12282
-29D8F,-29C59,-29CD2
-1225D,-12277,-1223D
-29CDB,-29E8C,-29B93
-123AA,-1236F,-123CD
-29A75,-29C3B,-29D34
-122B3,-1228A,-1223E
-29AC0,-29CAA,-29BE8
-122D5,-122FD,-12379
-29BF1,-2999F,-29AF9
-11FD7,-12253,-121DD
-29C98,-29C96,-29C3A
-122BF,-11F4D,-12214
-29B27,-29A3C,-29BB6
-122C7,-122BD,-123C3
-29B54,-29CD9,-29BA6
-11FFB,-1219D,-121E6
-29CC0,-29A8F,-29C3A
-123B0,-121AF,-12270
-29B41,-29C7D,-29CFA
-12237,-121C4,-12192
-29C82,-29CDB,-29D91
-122EB,-120DC,-12067
-29AD5,-29AB7,-29C19
-120EF,-12307,-12220
-29D0B,-29CC0,-29CB4
-122FF,-12377,-1226A
-29D02,-29D6A,-29C64
-12126,-12261,-1236F
-29D40,-29C82,-29B1C
-12290,-12278,-12065
-29B36,-29B33,-29CB2
-123D3,-12328,-12309
-29C6A,-29C05,-29D26
-1232C,-1240B,-122FC
-29D3E,-29DFE,-29E02
-12302,-124B8,-1247D
-29DDD,-29E55,-29E47
-12212,-1234C,-121D6
-29D0E,-29E40,-29DBD
-12149,-1233C,-120FF
-29E2B,-29E6A,-29EFE
-12427,-123C3,-1237E
-29D22,-29D78,-29C99
-12112,-121A3,-1207F
-29B44,-29B8F,-29CEE
-122FC,-122C3,-1227C
-29C8C,-29D4D,-29DB7
-12220,-12281,-121A1
-29E1D,-29D30,-29C0D
-12232,-121F2,-122CC
-29CBE,-29C64,-29C59
-1240B,-121A6,-1229D
-29C76,-29E4C,-29DF7
-1233B,-121F1,-12091
-29C60,-29CAA,-29C49
-12169,-120E2,-11FD0
-29E44,-29CEC,-29C70
-1226C,-121B0,-12197
-29C28,-29DA7,-29DA2
-12227,-121AD,-1228F
-29B78,-29CED,-29C27
-1221A,-11FB3,-121CE
-29AD5,-29DBC,-29D02
-12D38,-12C1A,-128F6
-29873,-2983D,-2984B
-11F34,-1200E,-11E32
-29901,-29890,-299D1
-11C1E,-11F32,-11BA7
-297A4,-2996A,-29741
-11DBA,-11D5B,-11D58
-298A6,-297FC,-295D6
-11C73,-11C43,-11D23
-29732,-2967C,-2989A
-11DE8,-11DAE,-11C86
-2969F,-29753,-29852
-11B86,-11E0C,-11CDB
-2973A,-2962D,-29789
-11BC9,-11F71,-11C4B
-2978F,-29666,-29701
-11B74,-11D6E,-11CAA
-29808,-2977E,-2992F
-11F46,-11D4E,-11DD4
-29773,-2967A,-2987D
-11D02,-11CDA,-11C8A
-2997F,-297B9,-299A1
-11D0D,-11D7F,-11F32
-296DC,-2981E,-29771
-11C0A,-11C0E,-11BB2
-29794,-29669,-29870
-11D09,-11DA8,-11BF0
-294E2,-29724,-29821
-11CF0,-11ACC,-11D9F
-295C4,-294E4,-2962D
-11A26,-11AC5,-11AAC
-2964C,-295D4,-2969D
-11C17,-11CDD,-11D5A
-2969B,-2968F,-29712
-11E2C,-11D42,-11D1E
-299F2,-296AF,-298C1
-11EC4,-11DAC,-11E0B
-2971F,-2991E,-29826
-11E81,-11D47,-11CFF
-29A01,-297BD,-298C4
-11CA3,-11C2C,-11BDF
-29817,-296C5,-29748
-11BAB,-11E53,-11E3E
-298BA,-2992F,-298E2
-11D5C,-11E41,-11F08
-29662,-29888,-296CD
-11EB4,-11C8D,-11DA4
-2985F,-2977B,-29773
-11E25,-11B60,-11C66
-298F8,-297E1,-2980F
-11FD4,-11DF6,-11CD6
-2984B,-29A04,-2979C
-1201C,-11E77,-11E3D
-297A0,-29793,-2975D
-11E01,-11CD4,-11D34
-29790,-2990A,-299B9
-11BCC,-11D71,-11C82
-29857,-299F6,-29886
-11CF2,-11CF0,-11D7B
-297B2,-29946,-298A4
-11C7D,-11F4A,-11D29
-29832,-2974F,-299A0
-11DDB,-11CF2,-11D22
-29892,-29807,-29832
-11B05,-11A14,-11B9B
-29605,-297FA,-29595
-11D1A,-11BAC,-11C60
-296F2,-297A5,-2982A
-11DF7,-11AD4,-11CFD
-295E7,-296B5,-296FB
-11C6A,-11AFC,-11A72
-296E1,-29595,-295FB
-11B35,-11ADA,-11A35
-29748,-2943F,-2955B
-11AE2,-11BCF,-11CEC
-29688,-294B4,-2948B
-119CF,-11BFE,-1191D
-29693,-29550,-294F5
-11AD1,-11D14,-119AA
-29393,-29519,-295D2
-11AAC,-11B5D,-11B60
-295F4,-295AB,-296D7
-11B6E,-11B9E,-11D6E
-29738,-2954C,-2989E
-11CD3,-11C52,-11C51
-29555,-297D3,-295D7
-11A6B,-11AD8,-11B8D
-29602,-2943D,-2961D
-11AF4,-11B4C,-11A85
-294F1,-29544,-2956B
-1187D,-119DB,-11AFD
-29571,-2965D,-29628
-11976,-11872,-11994
-2930A,-2923B,-29390
-11A60,-11A38,-11798
-29518,-2942E,-294E5
-11C96,-11CB4,-11B6D
-29707,-298A1,-29868
-11C32,-11CA3,-11A98
-2981B,-29630,-2946A
