{'CALIB_RAW_DAC_START_I': 622592, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
5ACC5,5ADF5,5AD65
433BB,43373,4330A
5AF24,5AD1B,5AF20
4336B,4332D,43346
5AF3C,5ADB8,5AF7E
43523,434C5,433DB
5AEC1,5B018,5AFEE
433F2,43273,432A0
5AD51,5AC97,5ADA4
4327F,43189,432C9
5AD27,5AE7F,5ABC7
43265,432BF,431A2
5AD27,5AE24,5AC82
43185,430D0,431DE
5AD87,5AEF8,5AD7F
433CF,43354,43231
5AE6B,5AC68,5AD3D
4353E,4335B,4313B
5AD66,5ADED,5AE4D
43311,432FC,433BA
5AE43,5AC6F,5AD54
4341F,43403,4336D
5AC51,5AC10,5AC03
43386,43181,432FF
5AB71,5ABE3,5ACBC
43018,4330E,43324
5AC23,5AC15,5AAFD
431FE,43111,430F5
5ABEA,5ABF1,5AB56
4301A,43143,433A1
5AD66,5AE10,5ACD4
431B8,432AB,4319E
5ADC5,5AE5E,5AD13
43276,43306,4328B
5AC8C,5AD41,5AC88
43312,4303F,43214
5ABCE,5AD03,5AD6E
43299,43139,4308C
5ABBD,5AC29,5AD1B
43065,430A8,4318B
5AB9C,5AC39,5ABBB
43314,43267,43273
5AB62,5ACBC,5AD86
430FC,42F5E,43191
5AB76,5AD7D,5AB5E
43163,43125,43102
5ABE6,5AD34,5ACD5
4333A,432AF,432C3
5AE7A,5AD28,5AAB7
43282,43215,431FE
5AC32,5AC7E,5AD99
431AC,43222,4324D
5AD18,5AEDE,5ADA0
431BC,430D7,43197
59B71,59EA3,59D45
439FC,43BA7,43AAB
5B5A0,5B393,5B583
43999,4387E,439A3
5B314,5B408,5B3EA
43AE3,43AEF,43CB1
5B562,5B5A9,5B49C
438A5,43944,43793
5B524,5B5E0,5B5FA
43A84,438F7,438C9
5B3CA,5B497,5B419
43919,43B95,43B4C
5B328,5B347,5B49D
43BE0,43BD5,43A11
5B52B,5B4FC,5B6EB
43A23,438F7,43C1C
5B2F2,5B48F,5B604
439A8,43BDE,43877
5B369,5B313,5B34A
437F1,438DC,43913
5B54E,5B41D,5B392
4399E,438B6,439BF
5B4AB,5B2E7,5B2AE
43854,43B28,4395C
5B562,5B442,5B497
43B18,438F3,43AB3
5B348,5B4A1,5B45E
43A8A,439F0,439E9
5B380,5B350,5B398
438B8,438B6,43895
5B341,5B506,5B453
43A55,43A30,4391E
5B312,5B464,5B642
43A6C,43932,4383B
5B330,5B46A,5B1D5
43A19,43AD9,439BC
5B454,5B3E7,5B3E5
43786,43991,43981
5B2AE,5B403,5B1C2
43A65,439B8,43A0A
5B4CC,5B30B,5B669
43A29,43980,438F7
5B50F,5B30E,5B40D
43928,439C2,438A0
5B375,5B527,5B3F0
437B5,43990,43988
5B40D,5B4A5,5B468
43B16,43AA2,43A44
5B3A2,5B297,5B3B3
438DC,43977,43A4C
5B5E2,5B291,5B3D4
43A42,4378D,438A6
5B318,5B3E9,5B39B
438AB,4380A,4389E
5B38B,5B2C9,5B2EC
437C6,4387C,43838
5B572,5B475,5B517
4386C,43781,439FD
5B2D7,5B3C7,5B44A
438B0,43AD7,43B21
5B4D8,5B537,5B52A
43AC7,43934,43874
5B481,5B58D,5B44E
439D1,43879,439B9
5B345,5B62B,5B5E6
43916,43878,43950
5B2F4,5B0E4,5B440
438B3,438D3,4393E
5B348,5B363,5B049
43777,437CD,43813
5B352,5B154,5B3AC
4361F,4378F,436E3
5B3B3,5B202,5B317
4388B,438D7,437FA
5B1AB,5B5A3,5B506
4391C,43954,438EF
5B246,5B2BD,5B5C9
43BD7,438D9,43767
5B32B,5B2FF,5B457
4386A,4386C,437BF
5B46A,5B4BC,5B34C
4373C,4371D,43711
5B1F3,5B26B,5B4D9
43660,437A8,4375B
5B30A,5B232,5B2F5
439D4,435C3,43581
5B2C7,5B1D5,5B13E
43770,4390C,4396C
5B1CB,5B235,5B239
438C3,438D4,438A3
5B43E,5B32B,5B36A
437FD,43903,437D1
5B54B,5B2A6,5B324
438F6,43893,43ACF
5B414,5B4BE,5B485
43A08,43A12,43926
5B377,5B1B8,5B3B5
43895,4374B,438AD
5B3DF,5B336,5B2DB
43952,43896,4394D
5B12A,5B2DC,5B48C
4396B,437CD,438C2
5B237,5B36B,5B2C0
43773,43A7B,4386F
5B2B2,5B2D9,5B199
439D7,438E1,4382B
5B3FF,5B0C7,5B254
439CB,4384A,435D4
5B2D0,5B2E5,5B314
43872,436C2,4398B
5B2EB,5B37B,5B4DA
438BD,438BF,43828
5B459,5B471,5B588
43728,436BB,43829
5B3D5,5B372,5B449
437F1,43860,4383A
5B3D7,5B32B,5B28A
4388C,43944,439B8
5B289,5B317,5B33E
4373A,4383B,437D1
5B2D1,5B1D0,5B376
438A9,43872,437E6
5B2A0,5B1DB,5B42F
43995,43849,43999
5B347,5B469,5B491
43932,43915,438E5
5B352,5B2B0,5B31D
437EB,437BD,43A39
5A9A5,5AA22,5AB26
43D93,43C5C,43BBD
5B5DF,5B540,5B47C
43B58,43C2C,43C81
5B68D,5B5FD,5B5BE
43A13,43C0A,43C6C
5B4C5,5B6AA,5B650
43A33,43C2F,43B20
5B5E9,5B53A,5B62E
43B99,43B65,43A71
5B43F,5B71F,5B665
439D6,43A36,43A75
5B547,5B65C,5B664
43A5E,43AD8,4391C
5B4C1,5B36D,5B634
43BF4,43AD1,43B6B
5B642,5B5BD,5B586
43D0D,43B6E,43936
5B604,5B4A0,5B3CF
439D7,43B6B,43A0F
5B599,5B64D,5B4BD
43A11,43B3D,43C15
5B4E2,5B685,5B50F
439AB,43950,43AD8
5B4CD,5B4D0,5B53D
43AB6,439B3,438AA
5B3D9,5B5F5,5B399
43B29,43B7A,43A61
5B7C9,5B5EB,5B4D7
43A7C,439DA,43AB6
5B540,5B4EF,5B3EC
43C1E,43B67,43B4C
5B359,5B4F8,5B4E7
439C6,43A17,43A5F
5B407,5B582,5B480
43A99,439E4,43A2C
5B58A,5B507,5B4CF
438DA,4397C,438FD
5B1E2,5B32C,5B365
43A2B,438D2,43ACD
5B39E,5B5AF,5B414
43923,43B51,438C4
5B407,5B531,5B397
43B4E,43BB5,43A95
5B3DE,5B56A,5B4A8
43BA5,43AE0,439A8
5B3A2,5B62F,5B505
439A6,43987,43B6F
5B5A4,5B5BF,5B3C4
4385E,43905,4386C
5B2FF,5B358,5B32C
43847,438FF,4399D
5B274,5B3E1,5B310
43931,43834,438A0
5B3A3,5B3B9,5B497
43A7C,43B2D,43B6E
5B4CF,5B410,5B528
43A88,439F3,43A4D
5B4BA,5B2CF,5B42D
43A4B,437A4,4373C
5B2D8,5B33E,5B31E
43751,439CD,437F3
5B283,5B3F2,5B2DC
43915,43A0B,438C1
5B45A,5B69A,5B51F
4375E,43956,43797
5B3CB,5B42A,5B1F9
43861,436FE,43707
5B277,5B3F7,5B3A7
43601,43705,438A5
5B3F7,5B424,5B41D
437A7,43836,43769
5B37C,5B240,5B4DB
4398F,43731,43904
5B3C2,5B2F5,5B2D0
43949,439A8,43887
5B3A4,5B3FB,5B4BA
438EB,43AA6,438F8
5B4C3,5B44B,5B3B7
438ED,43990,438FD
5B1E2,5B4F9,5B4E6
43824,438EF,4396B
5B2F0,5B36B,5B3E3
43915,439F7,437CF
