{'CALIB_RAW_DAC_START_I': 196608, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
DD8D4,DD7EB,DD6D1
F50B7,F5392,F52AF
DD854,DD6BC,DD804
F52EE,F5399,F529C
DD77F,DDA4A,DD93B
F5402,F5434,F51F4
DD975,DDACE,DDAD5
F53AE,F5373,F54BE
DD8B0,DD87D,DD759
F536E,F532B,F5347
DD851,DD765,DD9FF
F54BC,F529F,F54AA
DD9E2,DD84C,DD8BE
F5173,F5365,F5320
DD840,DD7D9,DD9E8
F54B4,F557D,F5478
DD7CC,DDA0D,DD989
F542E,F53D2,F53D7
DDB3F,DDA78,DDA6F
F54C0,F553A,F53BD
DD8C7,DD963,DD9D4
F546E,F5574,F5393
DD9A6,DD9AD,DD98E
F53EC,F54C4,F55B4
DD91D,DDA35,DDA3B
F541E,F562D,F549D
DDAD4,DDAB3,DDAA6
F552D,F552A,F56DC
DD9C4,DD9B1,DDA6E
F5457,F54CA,F5446
DD9F9,DD8D6,DDA3F
F53DE,F54BF,F54ED
DDAC6,DDC72,DDB90
F5555,F5596,F569A
DDD30,DDCCE,DDA98
F5823,F58E2,F58E8
DDC3B,DD901,DDB72
F5672,F55E9,F565D
DDB98,DDC0D,DDA68
F57BA,F5700,F57C4
DDF11,DDCF7,DDC62
F571D,F5794,F5888
DDCF5,DE076,DDDBB
F574F,F56DC,F57B9
DDC40,DDDF3,DDCF6
F58E8,F562E,F58A8
DDE94,DDCDA,DDD43
F56D4,F597F,F57FF
DDDE7,DDEB8,DDD40
F590A,F5868,F57F9
DDE7B,DDCB0,DDE6C
F5940,F5865,F58BF
DDE06,DDE42,DDC11
F5779,F58FC,F597E
DDD48,DDE7E,DDD1E
F5830,F5838,F58DA
DDE30,DDE76,DDF0D
F56C1,F58E3,F572D
DDDC0,DDCD1,DDD89
F56F2,F581C,F573D
DDE82,DDD83,DDF26
F5860,F58DC,F57E2
DDE5D,DDE5A,DDE16
F56D6,F571B,F5781
DDA22,DDB12,DDCD0
F5406,F55F4,F5478
DDBCA,DDA84,DDA16
F56ED,F542F,F559D
DDCE6,DDB69,DDB57
F55DD,F562C,F5767
DDA94,DDA5A,DDB38
F5705,F572B,F5650
DDD14,DDB30,DDA96
F56B1,F55C7,F56E7
DDAEE,DDB95,DDC11
F5762,F554D,F55E2
DDCA0,DDAFC,DDB5F
F56C6,F55C2,F5332
DDAE1,DDAE1,DDC8D
F558B,F57C6,F56C5
DDD2B,DDBF1,DDCAA
F53D9,F567E,F5572
DDAF5,DDC1D,DDBAD
F5727,F557D,F55D3
DDD4E,DDC87,DDE8C
F5688,F5402,F56DF
DDD28,DDCC5,DDB30
F5638,F56D6,F5696
DDE32,DDD43,DDCBF
F553E,F581E,F56BE
DDECE,DDE4B,DDC30
F573A,F567A,F5753
DDF3E,DDC0C,DDBC7
F56C3,F5806,F5752
DDC65,DDE68,DDB47
F56BF,F5858,F596E
DE042,DDF87,DDFB0
F5800,F59EC,F5982
DDEF0,DDD5E,DDFF2
F59CE,F59BD,F5A54
DDF66,DDF91,DDE59
F5B48,F5922,F5890
DDE2D,DDDB0,DDCE2
F576E,F58AA,F5876
DDEEC,DDE99,DDCE9
F597B,F585B,F591D
DDE71,DDE62,DDEC4
F580D,F5924,F5785
DDE1C,DDEDD,DDF3C
F5942,F584C,F59E2
DDF87,DDD4C,DDEDB
F5B5A,F59CF,F5B17
DDF5C,DDE50,DDEC4
F59FF,F5B82,F5A0C
DE061,DDFD2,DDF2F
F59AD,F5950,F59EE
DE087,DDE31,DDF78
F5B0E,F5AD2,F5AD4
DDF86,DDE75,DE01D
F5AE0,F5BD0,F5ACE
DDFDA,DDFA1,DDEF3
F5966,F5925,F5C93
DE2A6,DE0E4,DDFC8
F5ABF,F5B4F,F59BE
DE0AD,DE09D,DDF89
F5A8C,F5B79,F5A50
DDFD9,DDFDC,DE05A
F4058,F3E99,F3FF0
DE0E0,DE1E3,DE212
F5A07,F5CBE,F5A8A
DE2AB,DE1F3,DE01E
F5AC2,F5D25,F5AD6
DE085,DE11E,DDFE6
F5AF0,F5C45,F5BA9
DE2A2,DE276,DE1F7
F5C1A,F5C05,F5C76
DE1D0,DE160,DE106
F5AD6,F5D05,F5B31
DE1E1,DE0F0,DE200
F5B46,F5ACF,F5CBB
DE199,DE230,DE205
F5CBB,F5DDA,F5A0B
DE144,DE0CB,DE1F8
F5CD2,F5E01,F5DBC
DE196,DE1F1,DE1FB
F5CD3,F5BC9,F5C38
DE27B,DE17F,DE176
F5E5B,F5C25,F5E8C
DE2ED,DE303,DE02D
F5D82,F5AAA,F5DF1
DE309,DE36D,DE076
F5BB9,F5C7C,F5BF3
DE221,DE176,DE2DA
F5B6B,F5CEC,F5C5D
DE485,DE2B5,DE482
F5FA9,F5E80,F5C92
DE3B9,DE39C,DE4E5
F5D7A,F5D11,F5ECE
DE40A,DE3BE,DE3BC
F5B63,F5D60,F5D70
DE532,DE5A4,DE3B4
F5EE9,F5DC2,F5D80
DE466,DE55F,DE48B
F5FF0,F5E55,F6048
DE5B4,DE581,DE3FF
F5E12,F5D3C,F5DCC
DE51F,DE49C,DE4A0
F6127,F60E6,F6194
DE4F3,DE4BD,DE35B
F5FDE,F5F91,F5EE7
DE424,DE47E,DE276
F5F53,F6057,F5DF3
DE4F0,DE3CC,DE625
F5F0A,F5F77,F5E89
DE400,DE477,DE473
F5FBF,F60C2,F607A
DE5EA,DE46E,DE609
F5F6B,F5E0D,F5E35
DE5FB,DE58E,DE525
F5FC7,F620F,F6162
DE564,DE424,DE668
F5FBA,F5FD2,F610F
DE6D6,DE6F7,DE550
F6142,F6047,F62F1
DE741,DE857,DE645
F600A,F61BD,F60ED
DE76A,DE5E0,DE5C1
F6274,F60C8,F5FF1
DE5FD,DE6F1,DE68F
F6052,F5FBC,F611D
DE6B9,DE457,DE53F
F5FBA,F5E9D,F5F12
DE16C,DE37A,DE3CA
F5A2D,F5F68,F5F71
DE3BB,DE40E,DE3B1
F5DA1,F5D92,F5EA0
DE46D,DE344,DE27A
F5C3B,F5F22,F5C48
DE313,DE2AA,DE349
F5EE6,F5DE5,F5EB8
DE3EF,DE397,DE355
F5D35,F5E7D,F5DD1
DE307,DE51D,DE35A
F5DB5,F5CD3,F5FDE
DE4DC,DE408,DE2C0
F5F94,F5CD7,F5F1E
DE1D4,DE2B7,DE40B
F5E98,F5F9A,F5FEC
DE3CB,DE59F,DE309
F5E94,F5E36,F5D1E
DE3C0,DE30E,DE4C8
F5EAA,F610C,F6078
DE3C4,DE3BB,DE4D0
F5F82,F5E10,F604B
DE63F,DE494,DE6B7
F6016,F608C,F5FCD
DE3CF,DE52A,DE549
F5E16,F5D64,F5EF0
DE397,DE429,DE3CE
F5EFD,F5FE7,F6055
DE5AA,DE4A6,DE342
F6020,F5F2F,F6160
DE767,DE4F3,DE4CC
F5F22,F5EC6,F5E6D
DE531,DE4D7,DE49C
F6088,F6095,F6160
DE732,DE768,DE6A5
F619F,F61B3,F5FCD
DE6A4,DE460,DE742
F61AD,F612C,F6218
DE4DB,DE6D4,DE7A2
F628F,F62DA,F61A0
DE76F,DE75F,DE640
F61AA,F6194,F6133
DE645,DE87B,DE651
F6244,F612E,F63EF
DE844,DE7FA,DE793
F6393,F622D,F61A8
DE67A,DE725,DE85F
F6505,F6516,F62E9
DEA49,DE9E1,DE991
F62E4,F6259,F631E
DE826,DE6FE,DE986
F637F,F637F,F6329
DE9F2,DE9B1,DE9D8
F634B,F6343,F652A
