{'CALIB_RAW_DAC_START_I': 229376, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
CAC89,CAD6F,CAD51
E27C1,E2850,E2764
CAEF8,CADB6,CAC62
E280C,E289F,E2829
CADA6,CADCF,CAD7F
E2900,E28F5,E284D
CAD90,CAE8C,CAD99
E2931,E27F9,E27C1
CAF4C,CAE2C,CB00D
E2894,E2807,E2927
CAF28,CAFA2,CADC7
E29CA,E2795,E29DC
CAFF1,CAF22,CAF82
E2A5F,E2B0A,E27B4
CADFF,CAFAE,CAEE1
E28AD,E27C2,E2AEA
CACFB,CAD44,CACE5
E289D,E2B4B,E2977
CAF84,CAF3B,CAE47
E2A75,E29A8,E2B1C
CAE6B,CAEDA,CAED8
E29E9,E27EE,E27B6
CACA6,CAC1E,CACB3
E25A4,E2578,E267D
CAC72,CAADD,CABA3
E26F6,E26A1,E239D
CAB29,CACEA,CAAB8
E2633,E25CD,E25D6
CACE0,CAA59,CABAC
E25D9,E2477,E26C9
CAB5D,CADCA,CAA7F
E2852,E26CB,E2694
CABA3,CAE04,CABA2
E27BA,E2890,E26B1
CAE0F,CAC2E,CAC07
E280E,E27FE,E26F2
CAB73,CAE0C,CACA5
E28BE,E287A,E28A6
CAECA,CACF6,CADF7
E2723,E28F4,E2815
CAFB9,CADA6,CAEC6
E2870,E277C,E295E
CAEB5,CAEED,CAEB6
E26DC,E26FA,E2987
CACB1,CAD97,CADA4
E286A,E2A05,E2A46
CAE88,CAE44,CAD87
E27A9,E2878,E283C
CAE1C,CADFE,CAE3A
E2938,E2A2C,E2A16
CAF1F,CAF5D,CAE20
E279A,E2871,E285E
CACFA,CADDF,CAD4A
E28AF,E2977,E27B8
CAF58,CAE92,CB0BC
E2963,E285E,E299D
CAEB5,CAD00,CAE26
E299F,E28AB,E28F1
CAFB0,CACEA,CAE92
E292C,E2A8B,E29E4
CAEBB,CADD7,CAFF0
E2884,E28DD,E2922
CAE7B,CAF98,CAF1E
E2863,E2A25,E2B5B
CB012,CAE85,CAF8D
E294F,E2A5B,E2B47
CB05D,CAEA9,CAEF0
E2ABC,E2A5F,E2A12
CB124,CB017,CAFFD
E292C,E2B9B,E2AA1
CB14A,CAF4B,CB051
E2739,E2938,E2B32
CAF2C,CB06C,CB082
E27D3,E29AE,E2A2E
CAF26,CB112,CAFF6
E2939,E2B5C,E2A1A
CAF14,CAEC8,CADA2
E286D,E2BBA,E2A04
CAE4E,CB06A,CAF74
E2C28,E2AF7,E2AF7
CAFD5,CB007,CAEE3
E2A75,E2C80,E2B10
CAE45,CAF4B,CAF93
E2A7F,E2AED,E2B4A
CB033,CAF9C,CAF59
E1AA9,E1AAB,E1C0D
CB1AA,CB1F5,CB1ED
E29C6,E2AA2,E29D9
CB10F,CB00E,CAFDE
E2AEB,E2B0D,E2D3C
CB15D,CB2D7,CB150
E2A4B,E2B4A,E2BF0
CAFF1,CB279,CB1BB
E2A10,E2BE0,E2B69
CAFE6,CB003,CB153
E2B9A,E2982,E2BB9
CB3C2,CB045,CB0F1
E2D9E,E2A20,E2B62
CB03F,CB0DD,CAFBB
E2C2D,E2CEE,E2C75
CB1D1,CAEED,CB1E4
E2D94,E2DBA,E2C9F
CB123,CB1D9,CB1E9
E2B12,E2BE3,E2AE8
CB01E,CB0E1,CB2DC
E2BE9,E2C70,E2AE0
CAFA1,CB230,CB242
E2B6D,E2D33,E2C9D
CB2FE,CB292,CB258
E2B80,E2DD1,E2B3B
CB13E,CB10C,CB1B7
E2BF5,E2C41,E2CDC
CB1CF,CB12D,CB28F
E2F3F,E3175,E2F0A
CB3F8,CB475,CB2B6
E2BF1,E2E1E,E2ED6
CB3C3,CB3F3,CB4CB
E2F5F,E2F09,E2DA1
CB493,CB2EE,CB344
E2EE2,E2DDD,E2ED8
CB45E,CB4A9,CB512
E2F14,E3078,E2EE3
CB623,CB384,CB5CE
E2D2B,E30B5,E2F72
CB6E1,CB524,CB59B
E2F71,E2F32,E2E06
CB58F,CB496,CB412
E2F95,E307E,E2EE3
CB4DD,CB395,CB478
E2DD4,E2E41,E2F88
CB58F,CB511,CB546
E30B3,E2F73,E2DAC
CB523,CB5C8,CB5F5
E302E,E3156,E32C6
CB524,CB6D2,CB72F
E2F95,E3027,E3132
CB62C,CB397,CB78D
E314A,E3163,E3003
CB7D6,CB5F1,CB5C8
E3181,E3217,E2E74
CB4DB,CB479,CB5E9
E2FAE,E3069,E3307
CB720,CB7DB,CB761
E3217,E32CB,E3324
CB7D6,CB6DE,CB653
E2FEC,E3103,E2F73
CB3F2,CB57C,CB65B
E2F9A,E3024,E3213
CB795,CB663,CB80A
E2EB1,E3115,E314A
CB3F5,CB399,CB216
E2B8F,E2C21,E2DAB
CB44C,CB418,CB3F5
E2D7C,E2CB3,E2F30
CB3F9,CB452,CB58E
E2DA9,E2CD3,E2E33
CB4BC,CB444,CB3D6
E2E49,E314F,E2D8E
CB5F5,CB523,CB507
E2EBD,E2E4F,E2C93
CB437,CB34D,CB370
E3020,E3080,E30AC
CB544,CB5F0,CB546
E2D3A,E2F7D,E2FDD
CB503,CB538,CB649
E30CD,E309B,E2F4A
CB5FC,CB56B,CB5D5
E2F3C,E2F3E,E2FA1
CB53B,CB55C,CB451
E2D63,E2D8D,E2F6C
CB3FA,CB3FE,CB5F6
E3009,E2F54,E2EEB
CB445,CB6A8,CB41E
E2F34,E3020,E30E7
CB71B,CB676,CB61C
E2F8E,E31B0,E3024
CB7BD,CB615,CB747
E305F,E30FD,E3151
CB690,CB51E,CB55C
E314B,E31B8,E308B
CB828,CB520,CB359
E3126,E310F,E3113
CB973,CB890,CB806
E3200,E30BB,E31CA
CB692,CB963,CB731
E32A3,E322A,E3199
CB5AF,CB78D,CB770
E3373,E31E5,E30A9
CB663,CB685,CB796
E3108,E31CD,E31D9
CB81B,CB945,CB83F
E305F,E30DF,E305B
CB728,CB72A,CB83B
E3158,E3092,E3437
CB6BE,CB6D5,CB86F
E316C,E326D,E2FAB
CB848,CB7E8,CB86A
E318E,E31B4,E336D
CB83A,CB8A4,CB7CF
E327A,E3281,E33EE
CB93C,CB967,CB74B
E3414,E338D,E3572
CBBD6,CBA27,CBACC
E33B9,E3285,E32B0
CB92E,CB95E,CB96A
E35D8,E34BD,E35BC
CBA89,CBAD8,CB95B
E3222,E32DC,E32E6
CB8B4,CB907,CB8F0
E3440,E34A6,E342B
CB8A5,CBA63,CB7CD
E330D,E3555,E3397
CBBA1,CB8DD,CB973
E1687,E18BD,E1847
CB9DD,CB88A,CB907
E3399,E33B0,E34A9
CBB95,CB8B9,CB8F7
E330E,E3516,E3408
CBAB9,CBA56,CB9EF
E34D0,E35B3,E35F1
CBB7E,CBA84,CBA4B
E3590,E34E3,E3703
CBC40,CBC91,CBCC2
E358A,E35AD,E36C4
CBB74,CBCDB,CBCB4
E36B8,E36D0,E33EB
CBCD8,CBD79,CBCE4
E3570,E3729,E35F7
CBC35,CBB12,CBB2F
E367E,E3763,E3685
CBCFB,CBC6B,CB9E8
E3699,E364F,E36C6
CBBB2,CBD09,CBCC0
E36FF,E3773,E37DD
CBA9D,CBD05,CBBE4
E36D4,E36D5,E3764
CBCAB,CBB84,CBC55
E3770,E38EB,E3715
CBCE1,CBB06,CBBB4
E35EE,E36DF,E3677
CBAFF,CBDC9,CBD12
E3877,E3787,E3706
CBCD9,CBC03,CBAE4
E37B6,E374A,E36ED
CBABB,CBAB4,CBC10
E37B6,E379B,E382E
CBE1A,CBE69,CBC26
E375A,E3A50,E36ED
CBC2B,CBC34,CBD41
E383B,E36D4,E36D2
CBC69,CBDA9,CBCBA
E3683,E3841,E36B0
CBD3F,CBC41,CBCAA
E391E,E3739,E3639
CBF24,CC012,CBEB1
E37AA,E3869,E3A31
CBEA1,CBE68,CBF24
E3983,E371F,E389F
CBD1F,CBEE0,CBDC7
E3925,E390B,E3899
CBF35,CBE20,CBE4D
E3A15,E3939,E3947
CBE01,CBE7B,CBD5E
E3AC3,E3A24,E3887
CBF53,CBF78,CBD46
E37F6,E395A,E3AA3
CBEE9,CC01A,CBC45
E3AB1,E38EF,E3AC4
CBEB2,CC1A0,CC044
E3AC2,E3B3C,E3A3C
CBFFF,CBDC1,CBD78
E37E9,E37A8,E39CF
CBEA6,CBEBC,CBF22
E37EF,E3885,E3B18
CBEE6,CBF6E,CC002
E3B89,E3914,E3AB6
CBDF3,CBFF3,CC16C
E3840,E3871,E3ACF
CBD39,CBDA6,CBBD3
E3657,E3778,E3906
CBC3D,CBB9B,CBBF9
E36D2,E37B2,E3862
CBFA4,CBD84,CBD44
E36BB,E37C3,E36D7
CBCF5,CBC22,CBD88
E37C0,E3805,E373F
CBD62,CBB29,CBD26
E36A5,E38C0,E38C4
CBE7B,CBE19,CBC9C
E3828,E370C,E3873
CBE93,CBDC1,CBC71
E383E,E376D,E3708
CBD3D,CBF04,CBD2E
E3A45,E3A21,E3916
CBDE8,CBC3F,CBFB2
E386E,E3870,E3888
CBD78,CBDBB,CBE0A
E38A5,E39A4,E37DC
CBC44,CBE3D,CBEAA
E3865,E3957,E3788
CBE78,CBD92,CBF1A
E37D1,E384E,E38D9
CBE56,CBF1C,CBE92
E3884,E37C1,E377F
CBD3B,CBD8F,CBE68
E3851,E3A92,E3983
CC051,CBEBA,CBD31
E38AD,E3887,E3998
CBF32,CBE26,CBD8A
E39B8,E3924,E391F
CC153,CBEF0,CBFC8
E38CB,E3A78,E3AFE
CBDC1,CC159,CBF0F
E3ADA,E3AB2,E3A3F
CC018,CBE8B,CC047
E3BF9,E3B24,E3A51
CBFC7,CC141,CBF67
E3AB5,E3A85,E3ACB
CC04C,CBF08,CBFF8
E39DC,E3B66,E3B65
CC075,CBFE9,CC253
E3B31,E3AEC,E3BA9
CC177,CC00A,CC127
E3BA0,E3A7C,E39D4
CC1B3,CC04E,CC026
E3AD1,E3B61,E3C39
CC149,CC057,CC1D0
