{'CALIB_RAW_DAC_START_I': 819200, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-4080E,-407BD,-40A33
-5833B,-5824C,-581DC
-4092C,-40960,-407F5
-58302,-583ED,-5847C
-408A2,-407CA,-4075B
-582CF,-5810B,-58340
-408BD,-40833,-40A3F
-583B4,-5823D,-583BE
-4080C,-40A6C,-407E5
-581C1,-58315,-58324
-408B3,-4088A,-40894
-582A6,-58204,-582C0
-407CB,-40887,-40887
-581D4,-582D7,-58490
-408CE,-40812,-409B7
-58148,-58219,-581A8
-4080B,-407F2,-4072F
-5817A,-582B9,-582D3
-40748,-40725,-40765
-58209,-583B9,-5818A
-40994,-40617,-4044C
-582B1,-583C6,-58303
-407E5,-40684,-406EE
-57FF4,-57FC1,-5821D
-4063E,-40693,-40798
-5812D,-58022,-581E3
-40792,-40873,-406C6
-580BB,-581AF,-5811C
-407A1,-4085A,-408CB
-581BC,-581AD,-57F02
-4062C,-406ED,-4073F
-5811A,-57F9D,-58175
-40460,-405DD,-40607
-5820F,-580D5,-57F83
-408B0,-406F8,-405EB
-580C6,-5811A,-58168
-40587,-40596,-4058F
-5829F,-580A0,-580AE
-40773,-40741,-40599
-581DF,-581D5,-58228
-404C7,-408D7,-40771
-57F22,-5810B,-58266
-4064B,-405DF,-40500
-58076,-57F5F,-580B7
-405DF,-406FA,-405F2
-57E3B,-5811D,-58278
-40804,-406B7,-404F3
-57F65,-58180,-57FE6
-4054A,-4061E,-40577
-57EE2,-5815D,-58011
-404D8,-40642,-406D2
-58056,-580D0,-57EFD
-40B0C,-40919,-409AA
-58653,-5866F,-587C8
-40DB9,-40D78,-40EAC
-58630,-5883E,-586EB
-40D0E,-40C86,-40B8F
-5844E,-5867A,-58646
-40C70,-40C7C,-40C68
-588DD,-5875C,-5862C
-40D15,-40B5F,-40C52
-58739,-584D1,-58708
-40E9E,-40CC3,-40B2E
-584E4,-58672,-58573
-40BB7,-40C73,-40A5E
-584AD,-58769,-58696
-40BA8,-40B41,-40C18
-586D1,-5874F,-587BD
-40C7E,-40A66,-40AA2
-58763,-5890D,-58782
-40E91,-40C1D,-40BC8
-5848E,-58669,-58788
-40C18,-40EAE,-40E13
-588EF,-58786,-587E3
-40DB4,-40B8C,-40D5F
-58539,-58798,-5870A
-40CCC,-40BB6,-40D33
-5854F,-58717,-585EE
-40DB1,-40CBC,-40E35
-586AD,-5870D,-58847
-40D9E,-40BD9,-40C72
