{'CALIB_RAW_DAC_START_I': 851968, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-68B92,-68CC3,-68C98
-5140B,-51277,-5119E
-68D0F,-68F33,-68E58
-51216,-5116C,-511C0
-68BE0,-68D19,-68C77
-51288,-513F6,-51368
-68DF1,-68C9A,-68D30
-51105,-512F3,-5121E
-68C78,-68E2F,-68C5A
-512D8,-51276,-51343
-68C2E,-68C12,-68BD5
-51261,-51178,-5116F
-68C88,-68B8E,-68E0D
-513E4,-51121,-51420
-68E5D,-68C84,-68BF9
-51359,-510EC,-51315
-68CD2,-68C6A,-68D35
-5112E,-512DD,-5142B
-68DD9,-68C0F,-68C42
-5125E,-5105E,-511D1
-68C22,-68A20,-68B95
-510AD,-5126A,-510AF
-68D62,-68D85,-68C22
-5116F,-512EC,-511D4
-68B04,-68D87,-68BB8
-51254,-5125A,-512E7
-68E2D,-68CAA,-68E3B
-510F4,-51165,-5114D
-68A08,-68D14,-68CF5
-51206,-511A1,-51230
-68B3E,-68C98,-68CCD
-5107A,-51099,-5120F
-68CF6,-68BB2,-68C6D
-5122C,-5121D,-51340
-68C51,-68AF7,-68B6D
-5102D,-50E44,-51148
-68A00,-68B99,-68C12
-510E5,-510A9,-51144
-68A69,-68B94,-68B15
-50FD0,-510B1,-50FAE
-68B18,-68B92,-68ADF
-5131F,-510DA,-511A7
-68AD6,-68AC5,-68B66
-5102B,-50FE3,-50F05
-6896E,-68BC7,-68C25
-50FFE,-50F7F,-50F57
-68AC2,-68A02,-68C69
-50F43,-51036,-51099
-68BA4,-68B6E,-68D17
-50FA6,-51171,-51143
-68AAA,-68968,-68A10
-50F22,-50E3F,-50E3E
-6892D,-68807,-68A5E
-50FA0,-5115F,-51015
-68C08,-68B7D,-68D7B
-5110B,-510E0,-50EC0
-689D6,-68A7D,-689B6
-5110A,-51042,-510BC
-68AE3,-68B05,-68A36
-51194,-510C9,-511EE
-6898D,-689BD,-689EF
-50FE3,-510ED,-50FBF
-6891E,-68A2A,-68AA4
-510FF,-511AE,-51195
-68B6A,-68937,-68A4C
-50F1D,-510C9,-50ED0
-68C14,-68CA0,-68BFF
-5114B,-51066,-50F87
-68A30,-68AA1,-68AB7
-5102C,-5105C,-51158
-68A43,-68A17,-68A96
-5112E,-510F9,-50F0F
-68901,-689F0,-689A0
-510D7,-5101E,-5140C
-68B95,-68C29,-68B7E
-50F71,-50E7E,-51066
-68A5D,-68AAF,-68B05
-50F15,-50F67,-510FD
-68948,-6891F,-68925
-50E7E,-50D4F,-50F1C
-68722,-689AC,-68A3E
-50DA8,-50FD6,-50CCB
-68B6A,-6897A,-68ADE
-50DB7,-50DC5,-50DD5
-68908,-68AC8,-68A36
-50F98,-5107B,-50F3A
-689E7,-68A5B,-6899A
-50DC5,-50F44,-50EED
-68974,-68A4A,-689F5
-50F68,-50F72,-50F68
-68A1B,-689DC,-688C0
-50EFC,-50D83,-50F42
-68973,-688B3,-687F8
-50F6E,-50C7A,-50F63
-687A7,-6898B,-685F4
-50DE5,-50D14,-50E22
-68776,-68A5E,-68A13
-50E3E,-50E53,-50E50
-6883D,-687C8,-68996
-5128F,-50FE0,-51256
-68F3A,-69089,-68E4B
-51691,-5144F,-515B0
-68DED,-69038,-68F85
-51383,-51524,-5150D
-6900B,-68E57,-68CA6
-514F1,-512B8,-51619
-6902F,-68F49,-68F1B
-513B8,-5141E,-51271
-68CAE,-68C33,-68EB1
-51281,-514C1,-51447
-68E04,-68E11,-68E6A
-516AA,-5138E,-515F2
-68EE8,-68F1D,-69147
-51462,-515C1,-5119A
-68EB5,-68F15,-68F02
-51416,-513F8,-51238
-68EF8,-6904B,-68F24
-515E7,-5161F,-51622
-68F4B,-69037,-6907F
-51526,-5146C,-514E7
-68CB2,-68F30,-68E15
-513E3,-514C7,-5125D
-68F39,-68F3C,-68EDB
-5134D,-51381,-51333
-68D28,-68E22,-68EFD
-513D1,-51359,-513AD
-68CF0,-68E66,-68FDF
-5138A,-51373,-515A3
-69017,-68CE0,-68DC7
-51323,-51190,-51375
-68B3F,-68D13,-68CE9
-5141D,-51341,-513E2
-68D59,-68D76,-68D1D
-5153F,-51579,-5143C
-68CEC,-68FCF,-68CD9
-512D5,-51409,-513AC
-68D77,-68D54,-68E74
-5165D,-515A5,-5144E
-68EB9,-68F2B,-68D86
-51423,-5135A,-5127D
-68DE8,-68CE6,-68E94
-512A9,-5145C,-51276
-68E41,-68DF0,-69003
-5132F,-512EC,-51316
-68CE3,-68C0A,-68E3B
-51374,-5138E,-51589
-68DE0,-68D40,-68CD3
-512DB,-51367,-512BE
-68EB4,-68E2D,-68DCF
-51267,-51497,-51183
-68D35,-68E21,-68E42
-513C4,-51479,-513B4
-68BAA,-68EA5,-68E7F
-51294,-5115F,-51106
-68C19,-68CB1,-68F18
-51400,-51031,-51174
-68D87,-68C33,-68D51
-50F8A,-512CE,-5142B
-68CDE,-68F30,-68C6F
-51350,-511EB,-51264
-68CE0,-68C77,-68B6C
-511B6,-51270,-51170
-68CD9,-68F06,-68B72
-513CE,-512B6,-511C4
-68B33,-68B80,-68BA3
-51168,-51250,-51176
-68CAB,-68D36,-68D70
-51284,-511ED,-512B4
-68CC7,-68D4C,-68C6C
-513D2,-5104D,-51473
-68E32,-68CF7,-68E42
-51351,-51230,-51274
-68CEE,-68E76,-68D9C
-51409,-5103B,-51028
-68C82,-68E28,-68D9E
-51363,-51100,-511E4
-68B6E,-68DD3,-68F92
-5126B,-51184,-51199
-68BD6,-68D7E,-68D2E
-511E3,-5113A,-51161
