{'CALIB_RAW_DAC_START_I': 196608, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
DCEB1,DD036,DD067
F48FB,F48FB,F480C
DCE63,DCF0F,DCE64
F4A00,F4B4A,F48F5
DD09C,DCFFA,DCF51
F47DF,F4963,F4A08
DCF78,DCEC8,DCF98
F48D3,F48BF,F48A1
DCE8D,DCCF1,DCE5A
F48CF,F483B,F47A4
DCE4F,DCE20,DCFAD
F48B4,F494C,F47A5
DCF8B,DCFBD,DCE8F
F4995,F49D0,F494F
DCFB9,DCEBD,DD010
F4AD8,F4AE4,F4B2D
DD0FA,DD082,DCED0
F4A22,F4BE3,F4A13
DCF5A,DCF79,DCEC3
F4A09,F4A13,F4DB0
DD141,DCF08,DCF0F
F4A11,F4945,F4A64
DCF72,DCFBA,DCDBF
F4A43,F49EC,F498F
DCDA0,DD0C7,DD297
F4A8C,F4A1D,F47FA
DCF6D,DCE78,DD005
F4AD1,F4C34,F484D
DCF84,DCF04,DCEB9
F4B63,F4AB1,F49F0
DCF31,DD012,DCF0C
F4B27,F4A67,F4A6A
DD097,DCE36,DCFA0
F4888,F4A4F,F4BDF
DD02B,DD19B,DD003
F4B47,F494E,F4997
DCB64,DCCA7,DCB6D
F4419,F4563,F4708
DC9CA,DCC97,DCA47
F44E0,F43F7,F46C6
DCBB9,DCBE5,DCD00
F44DF,F4387,F44C9
DCA4F,DC9BB,DCD82
F449D,F45BF,F460C
DCADC,DCBFA,DCB45
F4670,F46FE,F4624
DCC8B,DCAAC,DCB05
F46F7,F4640,F4549
DCADA,DCC74,DCC4D
F471D,F477B,F4727
DCC63,DCBE6,DCBDD
F47CD,F49D8,F482E
DCC66,DCB95,DCA0C
F459B,F4452,F43AB
DC9F9,DCC78,DCC54
F434C,F4711,F456F
DCC11,DCC71,DCAB5
F43B0,F4584,F4669
DCD20,DCB4D,DCCB0
F4653,F468A,F479E
DCBCB,DCCEE,DCB34
F4667,F4732,F476E
DCEFD,DCBF9,DCC75
F4904,F4776,F46C1
DCD0C,DCD1A,DCC78
F44D1,F4726,F45D4
DCCE5,DCCF2,DCD08
F478F,F4792,F48A1
DCD18,DCF5F,DCB63
F4513,F4638,F4753
DCC32,DCCC9,DCC1B
F46AF,F471F,F4568
DCE79,DCF1C,DCD7A
F47A3,F47A7,F4869
DCCA5,DCD7F,DCC47
F472E,F467A,F46FC
DCD76,DCC8B,DCE26
F46CC,F480A,F4663
DCB3C,DCC94,DCCC6
F4734,F4818,F4821
DCCE6,DCAED,DCBF7
F49D4,F4934,F47F1
DCDCA,DCB62,DCCDF
F4742,F4A99,F48FA
DCE76,DCCF7,DCC38
F45F7,F4832,F45A7
DCBB7,DCCD4,DCB85
F479B,F46E6,F4603
DCE1C,DCD97,DCD21
F472C,F48B4,F4647
DCF1B,DCCF7,DCD75
F478B,F4868,F4875
DCDCD,DCECE,DCDC3
F46A2,F48A9,F475C
DCD03,DCF1C,DCEA1
F47C1,F475D,F47C0
DCF6A,DCE15,DCE98
F47AD,F470E,F468D
DCE69,DCD3A,DCD92
F4899,F4899,F472F
DCD5C,DCE06,DCBF0
F4932,F4655,F473E
DCC04,DCCA0,DCD8B
F47DD,F487D,F481F
DCE7A,DCE86,DCE64
F472B,F4865,F4812
DCD53,DCD50,DCC58
F471B,F47D0,F4734
DCEA2,DCE60,DCEE0
F47C5,F4789,F4890
DCCA8,DCD7F,DCE79
F4888,F49AB,F47F5
DCDA2,DCE4E,DCD8D
F479B,F49A1,F481C
DCCD1,DCDB6,DCCF9
F479F,F49FC,F483F
DCE58,DCDB6,DCD89
F48F9,F4911,F475C
DCE5D,DCE9D,DCEF8
F4A45,F48FE,F49FD
DCE9A,DCCC8,DCF22
F47C8,F4830,F47D4
DCF1A,DCDD1,DCE72
F4899,F48EA,F47F6
DD038,DCE82,DCDAA
F48A2,F4942,F48DF
DCEE2,DD0B8,DD0BF
F4A01,F49CD,F482E
DCE6A,DCD89,DD022
F48E8,F4987,F49C7
DCEC5,DCD8C,DCEBE
F4A3B,F4A87,F498E
DD007,DCE22,DCF9D
F49AE,F4860,F4979
DCFC5,DCF5E,DCD77
F4868,F48FA,F4A24
DD04D,DCFA9,DCED8
F48F7,F4975,F4A4E
DD123,DCF1A,DCE44
F4A86,F4930,F49FB
DD1C3,DD07B,DD05A
F485D,F4885,F49E1
DD080,DCF90,DCED0
F4A20,F4BF4,F4BAB
DCEE6,DCFDF,DD03E
F4A3A,F4A4D,F4985
DD128,DD1AD,DCEFE
F4BA3,F4A41,F4C12
DCE80,DD07E,DD1DA
F4CB8,F4A62,F4ACB
DCEEA,DCFB9,DCE0D
F4916,F490F,F4B09
DCEEB,DD198,DCFEE
F4B4E,F4B0C,F4B25
DCFC8,DCFB5,DD033
F4B65,F4BC5,F4B85
DD0A5,DD146,DD105
F4890,F4BD8,F4C56
DD06E,DCFA6,DCF4A
F4957,F49F6,F4954
DD130,DCECE,DCF86
F4B04,F4A62,F4AC4
DD050,DCFC3,DD11C
F40A8,F3FBE,F3D4D
DD526,DD76C,DD63F
F5086,F5204,F5286
DD739,DD71C,DD711
F4FC2,F4EC5,F4FA5
DD62A,DD26B,DD537
F5205,F5065,F5137
DD4A9,DD4D9,DD608
F4F2B,F503F,F50A6
DD655,DD4BF,DD4DF
F4F6C,F50AC,F4DA1
DD6E7,DD6CF,DD805
F4F54,F5192,F51F6
DD7F7,DD643,DD5BE
F518F,F5165,F4F3F
DD751,DD4D2,DD716
F504F,F518D,F53AB
DD6A8,DD7FF,DD862
F521C,F5308,F53BF
DD6F4,DD610,DD750
F5032,F50C0,F5114
DD6FF,DD694,DD783
F5105,F5004,F50F4
DD73B,DD633,DD685
F4F66,F5342,F5120
DD59E,DD88E,DD67F
F4E6F,F4F01,F4F2E
DD775,DD5A5,DD6C5
F5101,F5072,F5181
DD751,DD7B1,DD619
F4EC9,F4F42,F501F
DD606,DD4F8,DD711
F504C,F504B,F5196
DD63F,DD631,DD647
F5161,F52D9,F5231
DD7DF,DD747,DD74F
F5153,F50FE,F5152
DD629,DD72E,DD690
F5296,F50DA,F5017
DD6B1,DD6B8,DD5E6
F51FD,F51BA,F512E
DD8AA,DD6DC,DD7AB
F51BB,F4F44,F5279
DD88B,DD7F4,DD66D
F50D6,F50D3,F514C
DD6C9,DD72A,DD835
F4FD4,F5138,F5257
DD71E,DD743,DD88D
F52F9,F5301,F5357
DD6DD,DD615,DD690
F514C,F5482,F50FA
DD6F7,DD715,DD6BD
F51AF,F52DC,F52BA
DD881,DD7E6,DD550
F51BE,F51D2,F52C5
DD85C,DD658,DD695
F5382,F5200,F5275
DD828,DD8ED,DD844
F521E,F5140,F4FFF
DD9AC,DD792,DD9AE
F5321,F5391,F52FF
DD84C,DD9CD,DD85B
F5170,F533A,F52D1
DD8B8,DD9A8,DD7D6
F529A,F534E,F542C
DD675,DD960,DD851
F512F,F522F,F5218
DD77D,DD772,DD9D3
F53A4,F535C,F5200
DD9C0,DD8F0,DD67C
F5465,F51AD,F54F9
DD873,DD856,DD9A1
F525A,F5301,F526B
DD93C,DD9B4,DD845
F5238,F53C2,F5369
DD79D,DD899,DD8AF
F52ED,F53A8,F5561
DDA03,DD8F0,DD982
F5411,F5459,F53B4
DD7BD,DD993,DDA58
F5439,F5466,F5571
DD7FE,DD8F2,DD9B3
F53A0,F519C,F53BC
DD81B,DD92E,DD7CA
F5434,F525D,F541E
DDB06,DD7ED,DD5DA
F5264,F543A,F53A1
DD8D5,DD788,DD8E5
F5244,F53C4,F5405
DD8DD,DD9D2,DD8AF
F53E0,F50B5,F52E7
DD9AA,DD8F3,DD974
F53C2,F5477,F52BA
DD9AE,DD778,DD911
F53B8,F5156,F52F9
DD852,DD766,DD89F
F5287,F5388,F53B4
DD9AA,DD897,DD9CB
F54FA,F54B3,F53FF
DDA14,DD9DC,DDAF8
F5547,F53A6,F52F3
DD993,DDAA4,DD9E3
F54F1,F547F,F54D9
DD902,DD8E9,DD99E
F540D,F548A,F5326
DD796,DD864,DD92A
F53EF,F53F2,F55CE
DD9EC,DD920,DD8DC
F546E,F54C0,F539E
