{'CALIB_RAW_DAC_START_I': 32768, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-1F4278,-1F4096,-1F43EE
-20BD6C,-20BD62,-20BD26
-1F42AF,-1F4516,-1F4375
-20BD87,-20BC18,-20BB24
-1F4344,-1F3FCB,-1F414E
-20BA3C,-20BA50,-20B9F4
-1F4087,-1F4168,-1F3F85
-20BA2E,-20BA4D,-20BA1A
-1F40F9,-1F3F73,-1F424F
-20BC24,-20BA49,-20BB4A
-1F401B,-1F4157,-1F412D
-20BB6C,-20BB3E,-20BC1F
-1F417D,-1F4196,-1F410A
-20BBDF,-20BB4A,-20BAAD
-1F40D4,-1F4166,-1F3F93
-20B955,-20BB4A,-20BC1B
-1F403E,-1F40E8,-1F40FC
-20BA8F,-20BB2D,-20BAAC
-1F42E6,-1F420A,-1F4261
-20BCAF,-20BC68,-20BB24
-1F4089,-1F414F,-1F421F
-20BB65,-20BBCA,-20BA93
-1F4085,-1F4173,-1F40CF
-20BAB3,-20BCDB,-20BC2F
-1F42DD,-1F4146,-1F40FD
-20B95B,-20BCDA,-20BD50
-1F412C,-1F4293,-1F412A
-20B9E4,-20BB8F,-20BCF4
-1F4218,-1F40C9,-1F414E
-20BABD,-20BCFD,-20BB8F
-1F41A3,-1F42B0,-1F42E1
-20BBD8,-20BD61,-20BB3C
-1F3FC2,-1F41CA,-1F4171
-20BDB6,-20BBE5,-20BC31
-1F424D,-1F4329,-1F427B
-20BCF8,-20BE8F,-20BCF1
-1F4129,-1F4004,-1F42EE
-20BD90,-20BEE0,-20BF37
-1F452B,-1F465B,-1F461B
-20BF25,-20BEFF,-20BECF
-1F44FB,-1F4476,-1F4652
-20C01C,-20BF3C,-20C06B
-1F43B0,-1F4548,-1F45D3
-20BF8C,-20BFDB,-20BE68
-1F44EE,-1F4624,-1F4591
-20BE7B,-20C059,-20C07C
-1F48FF,-1F4634,-1F457C
-20BFCA,-20BFF3,-20C0D8
-1F475F,-1F4649,-1F459C
-20C19B,-20C0D7,-20BFF0
-1F4636,-1F4580,-1F469F
-20C12C,-20BF0E,-20BF4F
-1F45A1,-1F4411,-1F453F
-20BF84,-20C08F,-20C03C
-1F45ED,-1F470B,-1F46B6
-20BF57,-20C0F5,-20BE17
-1F481B,-1F461F,-1F46CD
-20C01C,-20C03B,-20C054
-1F4659,-1F4784,-1F478F
-20C2EB,-20C09C,-20C07B
-1F4833,-1F4582,-1F46CA
-20C0DD,-20C167,-20C0DE
-1F468E,-1F45B4,-1F476E
-20C182,-20C1A0,-20C142
-1F46E8,-1F455C,-1F47BA
-20C299,-20C1E5,-20C13F
-1F4754,-1F4834,-1F46CD
-20C0AD,-20C1EA,-20C0AB
-1F47A0,-1F45C7,-1F455A
-20BEC8,-20BF51,-20BFED
-1F44FB,-1F44D0,-1F4431
-20BE94,-20BEA4,-20BEBC
-1F468A,-1F4459,-1F4628
-20BED6,-20BF67,-20C178
-1F46A8,-1F45D4,-1F45A5
-20C082,-20BFAD,-20C105
-1F44F8,-1F4418,-1F427F
-20BF40,-20C0D3,-20C01C
-1F4758,-1F4680,-1F4699
-20BF2D,-20BE59,-20C0C3
-1F4552,-1F4499,-1F451E
-20C13A,-20C09B,-20C11D
-1F453D,-1F43F7,-1F4425
-20BFA9,-20C080,-20C0A4
-1F4501,-1F437F,-1F45DF
-20C07D,-20BDA8,-20BF6A
-1F45F7,-1F45F1,-1F4682
-20C061,-20C052,-20BE94
-1F4654,-1F4717,-1F45EF
-20C09E,-20C1B6,-20C08B
-1F45F9,-1F46CA,-1F4816
-20C1A2,-20C1E0,-20C137
-1F47F2,-1F46BF,-1F4710
-20C0D2,-20C0F8,-20C246
-1F46CB,-1F47DF,-1F47FE
-20C35D,-20C078,-20C0E0
-1F4601,-1F468E,-1F46B9
-20C1A1,-20C058,-20C17B
-1F479B,-1F47C4,-1F471B
-20C316,-20C15E,-20C189
-1F39F9,-1F39FB,-1F3AAC
-20B239,-20B059,-20B100
-1F35E1,-1F3689,-1F38DF
-20B223,-20B0F2,-20B195
-1F3574,-1F36FC,-1F3786
-20AF8B,-20AED2,-20B202
-1F3784,-1F3792,-1F35AC
-20B1A7,-20B240,-20B30E
-1F3832,-1F3818,-1F37EA
-20B19F,-20B0A4,-20B041
-1F36EC,-1F35F4,-1F36FB
-20B0C4,-20AFF9,-20B1CF
-1F3563,-1F37ED,-1F3659
-20B085,-20B348,-20B30B
-1F37CE,-1F3A5A,-1F38AC
-20B13B,-20B2F6,-20B040
-1F37F0,-1F3678,-1F378B
-20B10D,-20B24F,-20B044
-1F37A2,-1F361F,-1F36E7
-20B169,-20B353,-20B1AE
-1F3684,-1F37AB,-1F3932
-20B205,-20B3EC,-20B0F9
-1F374A,-1F3731,-1F385A
-20B0A0,-20B451,-20B1E7
-1F377D,-1F387A,-1F3712
-20B0C3,-20B359,-20B0A4
-1F3925,-1F3A50,-1F398D
-20B43D,-20B2D8,-20B3E3
-1F38EB,-1F39C9,-1F38A6
-20B21F,-20B2B4,-20B307
-1F3987,-1F388C,-1F3986
-20B34E,-20B295,-20B1AA
-1F3642,-1F3752,-1F37CC
-20B168,-20B0B1,-20AF96
-1F3655,-1F36C7,-1F38F5
-20B1DD,-20B14A,-20B165
-1F3718,-1F379A,-1F3918
-20B0C2,-20B1BD,-20B26B
-1F3701,-1F37A6,-1F372B
-20B0AB,-20B1A3,-20B28B
-1F36B9,-1F350F,-1F3741
-20AFF7,-20B2C9,-20B360
-1F390B,-1F37B0,-1F37CE
-20B2F4,-20B325,-20B277
-1F38D1,-1F391A,-1F37A4
-20B356,-20B1D5,-20B159
-1F371D,-1F3900,-1F3953
-20B3EA,-20B3F8,-20B3F2
-1F3977,-1F399D,-1F38AE
-20B293,-20B2EE,-20B1AA
-1F3900,-1F3981,-1F373A
-20B24C,-20B203,-20B3A0
-1F37B6,-1F3890,-1F3669
-20B24D,-20B181,-20B2C3
-1F39A4,-1F37FF,-1F37D3
-20B4F3,-20B4BC,-20B23B
-1F38DA,-1F383A,-1F380E
-20B401,-20B154,-20B071
-1F39CB,-1F388D,-1F373E
-20B13F,-20B2ED,-20B3DD
-1F39B0,-1F37E7,-1F38C0
-20B407,-20B540,-20B4DF
-1F3BD7,-1F37DD,-1F3981
-20B3CA,-20B412,-20B4AA
-1F3A1F,-1F38C6,-1F3994
-20B516,-20B6A3,-20B6C9
-1F3DD2,-1F3C2D,-1F3B28
-20B39B,-20B398,-20B65C
-1F3A9D,-1F3B15,-1F3ADC
-20B649,-20B544,-20B675
-1F3C87,-1F3C5E,-1F3BD6
-20B646,-20B505,-20B4EC
-1F3CC2,-1F3B18,-1F3C74
-20B6CD,-20B784,-20B675
-1F3AE2,-1F3BB2,-1F3BFF
-20B5C4,-20B75E,-20B552
-1F3CFA,-1F3BF6,-1F3D07
-20B7C7,-20B780,-20B5EE
-1F3D0B,-1F3C58,-1F3D26
-20B591,-20B679,-20B7B7
-1F3D4F,-1F3C71,-1F3C86
-20B6AB,-20B769,-20B720
-1F3CAA,-1F3E6B,-1F3AD8
-20B778,-20B80E,-20B6D7
-1F3D59,-1F3C59,-1F3C8A
-20B624,-20B871,-20B704
-1F3E13,-1F3D6D,-1F3CB0
-20B923,-20B90D,-20B86E
-1F3E1D,-1F3DA5,-1F3C76
-20B828,-20B892,-20B82A
-1F3E46,-1F3D53,-1F3CC0
-20B7B3,-20B7C8,-20BAE3
-1F3E78,-1F3BD3,-1F3EFD
-20B8F5,-20B839,-20BA35
-1F3E71,-1F3F81,-1F3EA5
-20BA71,-20B84C,-20B94C
-1F3E49,-1F3E4C,-1F401E
-20B75E,-20B5F0,-20B7FB
-1F3D4A,-1F3CF9,-1F3EC5
-20B627,-20B894,-20B66E
-1F3DF1,-1F3DC9,-1F3D03
-20B7B0,-20B759,-20B84B
-1F3A87,-1F3C5D,-1F3E32
-20B6CC,-20B715,-20BA21
-1F3DF2,-1F3CFB,-1F3C4A
-20B607,-20B6D7,-20B7B3
-1F3DA0,-1F3EEC,-1F3E65
-20B79F,-20B9EF,-20B91F
-1F3DAB,-1F403B,-1F3C90
-20B769,-20B9D3,-20B998
-1F3EFB,-1F3F81,-1F3F18
-20B98C,-20B934,-20B977
-1F3EF5,-1F3CBE,-1F3D7C
-20B72A,-20B92D,-20B767
-1F3E73,-1F3BDC,-1F3D02
-20B692,-20B75A,-20B4EC
-1F3CF2,-1F3D51,-1F3D98
-20B83B,-20B729,-20B713
-1F3D31,-1F3E6D,-1F3C58
-20B69C,-20B681,-20B744
-1F3E13,-1F3C11,-1F3C4A
-20B691,-20B903,-20B6E8
-1F3DBA,-1F3D6D,-1F3C2C
-20B7BD,-20B671,-20B66E
-1F3B7F,-1F3DAF,-1F3BFB
-20B639,-20B75F,-20B796
-1F3E27,-1F3DB3,-1F3C3F
-20B6A1,-20B624,-20B764
-1F4180,-1F408D,-1F40C1
-20B297,-20B1D8,-20B2F3
-1F38C2,-1F383E,-1F3825
-20B189,-20B03F,-20B283
-1F3919,-1F3747,-1F3811
-20B2C1,-20B50A,-20B339
-1F3A9E,-1F39EE,-1F3A6A
-20B573,-20B444,-20B350
-1F38BE,-1F3765,-1F39F6
-20B286,-20B4A5,-20B1AE
-1F392F,-1F387A,-1F3803
-20B364,-20B3DE,-20B41C
-1F3B19,-1F39BD,-1F377E
-20B367,-20B477,-20B502
-1F3A1C,-1F3864,-1F38FB
-20B40F,-20B543,-20B39A
-1F39BD,-1F3A48,-1F38B2
-20B58D,-20B55C,-20B448
-1F3AF0,-1F393A,-1F398F
-20B47B,-20B5BC,-20B556
-1F3AA7,-1F3B17,-1F395F
-20B47E,-20B3D6,-20B6E0
-1F39C1,-1F3BF7,-1F3AB9
-20B552,-20B4CF,-20B54F
-1F3A7B,-1F3A24,-1F3A3D
-20B516,-20B75E,-20B624
-1F3979,-1F3997,-1F3990
-20B4BE,-20B61E,-20B6DF
-1F3BD8,-1F39AD,-1F38CA
-20B4D6,-20B62B,-20B5EC
-1F3C8F,-1F39CF,-1F3B9E
