{'CALIB_RAW_DAC_START_I': 491520, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-A6FD,-A612,-A7CA
D26A,D545,D5CF
-A391,-A2FB,-A4A8
D53C,D6AD,D5AB
-A349,-A365,-A344
D65C,D686,D629
-A451,-A29F,-A4B3
D40A,D513,D638
-A619,-A461,-A66C
D4DB,D537,D48B
-A4A5,-A2A5,-A5BC
D5B3,D4BA,D73E
-A54A,-A446,-A5CD
D654,D3EB,D652
-A67D,-A460,-A73D
D59B,D62F,D4BF
-A510,-A667,-A7AC
D4CC,D6FB,D669
-A4B8,-A5FC,-A59C
D35A,D52D,D2B2
-A6C5,-A545,-A6C8
D4F0,D40F,D487
-A6D6,-A5FD,-A78D
D3EC,D47D,D26F
-A5E0,-A6DF,-A59F
D3B7,D573,D4C3
-A5CB,-A792,-A62A
D378,D4AE,D5A2
-A3DD,-A660,-A5FD
D655,D401,D441
-A551,-A4A3,-A61D
D25E,D356,D3FD
-A684,-A682,-A59F
CF71,CF94,CEC9
-A12B,-A23E,-A169
D944,D9ED,D981
-A149,-A132,-A349
D695,D73B,D787
-A244,-A1BE,-9F9B
D738,DA65,D925
-A1FE,-A19B,-A38B
D7E0,D733,D806
-A130,-A1E1,-A186
D7AF,D6F5,D688
-A14F,-A31C,-A322
D5E2,D8DD,D855
-A252,-A349,-A297
D80A,D737,D83E
-A47E,-A1E0,-A13D
D8B4,D8BF,DA3C
-A1FC,-A143,-A294
D743,D6E2,D811
-A27A,-A14F,-A34B
D81A,D802,D758
-A341,-A247,-A450
D6D6,D759,D8B8
-A2D1,-A4FA,-A4C3
D65C,D928,D686
-A0D6,-A2D7,-A413
D64E,D6A4,D7D0
-A4D7,-A498,-A329
D4DF,D61F,D5A9
-A540,-A5D2,-A523
D570,D6CD,D5F9
-A376,-A4C4,-A589
D6C0,D688,D73F
-A0D2,-A306,-A11C
D758,D9FB,DA23
-A2E6,-A202,-A275
D75E,D815,D7DE
-A136,-A12D,-A2B7
D743,D90A,D89E
-A410,-A377,-A3A6
D84B,D7CC,D6F7
-A24B,-A2CF,-A348
D7A7,D65A,D7D2
-A26D,-A20A,-A39E
D81F,D79F,D77A
-A21E,-A27D,-A2D4
D4BD,D6A1,D6FB
-A305,-A37C,-A316
D57C,D73D,D6FA
-A348,-A02E,-A1A4
D76B,D704,D663
-A20C,-A2C0,-A48B
D638,D7CC,D807
-A24E,-A580,-A2B2
D76C,D643,D553
-A399,-A1FB,-A247
D851,D87A,D7AB
-A313,-A3C1,-A385
D4FF,D4E3,D71A
-A558,-A464,-A46C
D8DE,D541,D6B1
