{'CALIB_RAW_DAC_START_I': 786432, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
F321A,F3330,F33CD
DB754,DB6B4,DB8A3
F3120,F3287,F32E6
DB852,DB968,DB7AE
F329A,F328B,F32E9
DB6E7,DB65B,DB817
F32E5,F327E,F3306
DB95D,DB9F9,DB832
F3270,F342B,F33EF
DB87A,DB81B,DB7F8
F3323,F33D1,F34D4
DB798,DB70F,DB703
F30F7,F31DF,F3074
DB86A,DB6B3,DB540
F3192,F3079,F31F7
DB5B8,DB4D7,DB4FD
F31DE,F30E8,F3104
DB631,DB53F,DB55A
F3266,F31F6,F312A
DB4AD,DB42C,DB6C6
F2F52,F3153,F30A1
DB6A0,DB77A,DB6F0
F321F,F32A2,F30C9
DB681,DB6B3,DB5B0
F30CA,F31D4,F3072
DB5D3,DB621,DB597
F2FBF,F30A3,F2FEA
DB5D8,DB5A3,DB681
F3029,F2FE8,F305C
DB671,DB5B4,DB605
F3301,F2FF8,F3086
DB696,DB5CD,DB639
F310E,F2F6F,F2F61
DB481,DB738,DB7B5
F315F,F31EA,F307F
DB62B,DB6B3,DB797
F3050,F3079,F3295
DB60A,DB606,DB603
F2F27,F3192,F2FA7
DB806,DB577,DB62E
F3078,F3254,F30CE
DB65F,DB570,DB713
F3210,F333A,F3301
DB5C6,DB56E,DB590
F2FC7,F3099,F3175
DB7DE,DB6E2,DB69B
F314D,F2F1A,F30F1
DB6C4,DB3B2,DB500
F2F5C,F3157,F2F1C
DB455,DB720,DB704
F31D6,F31D6,F3287
DB6BA,DB7DE,DB58F
F318D,F3070,F2F7E
DB5DC,DB741,DB56C
F3213,F3036,F2FE2
DB7E7,DB5CD,DB649
F2F7F,F3059,F3126
DB455,DB63C,DB630
F268A,F283D,F2A4E
DBC47,DBC22,DBA59
F347C,F33A1,F347C
DBB59,DBA45,DB87A
F352E,F31FD,F33F6
DB9C6,DBAE1,DB8C6
