{'CALIB_RAW_DAC_START_I': 32768, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-1E1688,-1E156A,-1E160A
-1C9993,-1C9AC3,-1C9A6D
-1E1612,-1E165E,-1E1547
-1C9AC4,-1C9BC7,-1C9C0D
-1E155E,-1E171D,-1E16B5
-1C9AFA,-1C9D10,-1C9C55
-1E165B,-1E1586,-1E1685
-1C9CE2,-1C9CC2,-1C9C90
-1E1651,-1E1618,-1E1641
-1C9AF1,-1C9A80,-1C9B79
-1E14EA,-1E1557,-1E14DF
-1C9DA9,-1C9D5F,-1C9C98
-1E18C2,-1E15D6,-1E1665
-1C9B88,-1C9BB2,-1C9BA3
-1E1540,-1E1568,-1E177B
-1C9CD1,-1C9B3F,-1C9DE7
-1E16CD,-1E15E4,-1E1457
-1C9C93,-1C9C8F,-1C9C2A
-1E1699,-1E1793,-1E1639
-1C9B57,-1C9ABE,-1C9C8D
-1E15CF,-1E14A9,-1E16B7
-1C9B31,-1C99B2,-1C9BE3
-1E17D2,-1E1530,-1E165E
-1C9DCA,-1C9ACF,-1C9B48
-1E161A,-1E17F3,-1E17A0
-1C9CC1,-1C9CB2,-1C9D46
-1E188C,-1E1567,-1E174F
-1C9CEF,-1C9B0F,-1C9B35
-1E1768,-1E15BF,-1E16F8
-1C9EB9,-1C9D1E,-1C9C3A
-1E1631,-1E1559,-1E1872
-1C9C03,-1C9CE2,-1C9C70
-1E14FB,-1E1744,-1E1786
-1C9D44,-1C9B99,-1C9BED
-1E14B9,-1E14DA,-1E1720
-1C9A0E,-1C9B9C,-1C9C0B
-1E1593,-1E150D,-1E15ED
-1C9C70,-1C9DF1,-1C9C11
-1E16BD,-1E1638,-1E14C6
-1C99F8,-1C9AEC,-1C9B23
-1E17DF,-1E16EF,-1E177A
-1C9BCF,-1C9EC5,-1C9CCF
-1E17D8,-1E1753,-1E17A4
-1C9C63,-1C9EF5,-1C9DB4
-1E16E2,-1E1876,-1E16C9
-1C9D65,-1C9C51,-1C9C55
-1E171E,-1E166F,-1E1649
-1C9AFF,-1C9C3B,-1C9C4F
-1E180A,-1E1681,-1E174A
-1C9DF1,-1C9CDF,-1C9B8D
-1E1791,-1E1696,-1E17EC
-1C9BC7,-1C9B7D,-1C9CFB
-1E194F,-1E1692,-1E1837
-1C9D96,-1C9DD0,-1C9D2F
-1E17C5,-1E17B7,-1E1792
-1C9EBA,-1C9DA6,-1C9CCE
-1E174E,-1E18A6,-1E17C5
-1C9C46,-1C9D65,-1C9DAD
-1E17AB,-1E166A,-1E175B
-1C9D5C,-1C9DF0,-1C9C58
-1E1768,-1E196E,-1E182E
-1C9D97,-1C9ED7,-1C9DAB
-1E170E,-1E1883,-1E1645
-1C9E3F,-1C9E56,-1C9C7E
-1E1840,-1E18E6,-1E1862
-1C9E70,-1C9CAB,-1C9E51
-1E1564,-1E1775,-1E18F6
-1C9D26,-1C9F25,-1C9F56
-1E1864,-1E17B0,-1E1797
-1C9E1A,-1C9E32,-1C9C0F
-1E1844,-1E18E1,-1E17F3
-1C9C89,-1C9C95,-1C9CAC
-1E1894,-1E1822,-1E195B
-1C9F0F,-1C9E1D,-1C9EEF
-1E1990,-1E1A6D,-1E1898
-1C9C7B,-1C9CCF,-1C9C98
-1E1837,-1E1817,-1E18F9
-1C9DD7,-1C9F69,-1C9E4F
-1E185E,-1E1761,-1E1877
-1C9D7E,-1C9D6B,-1C9E0C
-1E16D0,-1E16E0,-1E18BC
-1C9D69,-1C9DDB,-1C9EB1
-1E19EA,-1E185A,-1E18E9
-1C9F07,-1C9D54,-1C9E2D
-1E176A,-1E189D,-1E17C8
-1C9ECD,-1C9C39,-1C9EB2
-1E176A,-1E1866,-1E17F7
-1CA746,-1CA716,-1CA602
-1E147B,-1E1490,-1E1382
-1C9AC0,-1C98EF,-1C9B45
-1E144F,-1E15FC,-1E1422
-1C9A69,-1C9B12,-1C9AA9
-1E139B,-1E149A,-1E152A
-1C9A41,-1C9A83,-1C9A3B
-1E168D,-1E1515,-1E1500
-1C9A0C,-1C9C9A,-1C996C
-1E14E4,-1E1518,-1E13AD
-1C9B0A,-1C9960,-1C9A8A
-1E1523,-1E14EC,-1E1541
-1C9B2A,-1C99A4,-1C9BC9
-1E1497,-1E15A6,-1E176C
-1C9AF9,-1C9A15,-1C9A89
-1E1511,-1E14D9,-1E152E
-1C9914,-1C97F0,-1C9B1C
-1E15A4,-1E154B,-1E15C2
-1C9AB4,-1C9BCC,-1C9CB5
-1E162B,-1E1504,-1E15A1
-1C9BE0,-1C9BB9,-1C9A44
-1E151C,-1E1636,-1E169E
