{'CALIB_RAW_DAC_START_I': 98304, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
19D4E,19CD8,19D53
316C6,31720,3199B
19ED0,19C3A,19E46
31921,31909,316B6
19D3B,19BC2,19AFF
31779,3166A,316A3
19C8D,19CBC,19DCA
31677,3176D,315BA
19D01,19BC0,19CE8
315ED,316FD,317A3
19D9E,19C96,19D8C
3180A,31914,318CE
19E0A,19DE8,19E28
3185C,316E2,3184C
19DF0,19CDB,19D03
3176E,31803,3182C
19E23,19C8B,19F15
31617,31862,317BC
19CE9,19DC8,19CCD
31609,316B8,318B9
19D50,19C80,19C56
3169F,317A4,31645
19CA8,19F91,19D38
31710,31788,3155D
19B6B,19C60,19A7E
31633,316F1,31748
19C8C,19C07,19C44
316D0,3179A,3171A
19C9A,19D3B,19CF8
31769,31731,31804
19CEF,19C92,19D84
31655,31683,315D0
19D9E,19DC2,19BC0
316E6,31709,31703
19F26,19DBB,19D81
318F3,31AA4,31829
19BBF,19CCA,19B45
317DE,31645,3188A
19D7D,19CA6,19D63
31667,31929,318C8
19C47,19D78,19EFF
318CA,31A18,31660
1A095,19DBE,19E95
3182B,31999,31864
19EF7,19DDE,19CE9
31807,3189C,3183D
19DCA,19CD9,19DA3
317FE,31777,31A07
19D68,19DE5,19E43
31865,31977,31A82
19E7F,19E40,19E7D
31AB4,31AF0,31B5C
1A0EC,19F72,1A0A8
31986,31823,31AAC
19EED,19FC8,1A045
31BE6,31A28,31BBE
1A1C4,1A1EB,1A191
31B2C,31A7E,3196D
1A249,19FAB,1A0F8
31B34,31B2B,31C6D
1A02C,1A1B9,1A273
31A32,31BAE,31D2A
1A182,1A10F,1A0F4
31B42,31A3E,319D8
1A168,1A05B,1A15D
31BCD,31BEC,31B20
1A0E3,1A084,1A4D8
31D35,31C09,31E17
