{'CALIB_RAW_DAC_START_I': 32768, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
12E64D,12E4C5,12E596
146173,145FAD,145EF1
12E522,12E5EE,12E6AC
145FD5,146145,145EE4
12E536,12E62C,12E5DE
145F73,145FBA,145F9A
12E4F7,12E568,12E5EF
146154,14603A,146141
12E63C,12E552,12E4AC
1460F4,146075,14600F
12E7FD,12E62C,12E5F1
1460F5,1460F8,1460D7
12E663,12E7D4,12E501
145D60,146050,145F31
12E2BD,12E19E,12E11D
14597A,145BB5,145BBC
12E2B2,12E244,12E02B
145CEF,145BBA,1459BB
12E1D1,12E28B,12E179
145C51,145B21,145DB7
12E302,12E1FB,12E31E
145CCD,145CD1,145E1C
12E4F2,12E21E,12E2C9
145C8E,145C24,145C8A
12E1ED,12E170,12E34B
145BDA,145B6A,145EB9
12E3AA,12E30A,12E243
145CC0,145D6A,145E64
12E404,12E3C8,12E2B3
145EBE,145E17,145F65
12E3C9,12E1C2,12E3B2
145D45,145C0C,145D44
12E2C1,12E316,12E2D9
145CBF,145CED,145CD0
12E129,12E2EA,12E308
145D10,145D05,145E4F
12E414,12E39B,12E2CA
145D23,145F28,145D65
12E408,12E32E,12E22C
145E39,145DD7,145D14
12E23A,12E2A2,12E182
145DC3,145D7E,145D8B
12E43C,12E487,12E305
145DAC,145FC8,145CDF
12E4C7,12E458,12E356
14605A,145E5C,145DF9
12E51C,12E323,12E1AC
145D61,145C24,145C41
12E1C2,12E2E8,12E2EE
145D1A,145D73,145D16
12E28B,12E341,12E23C
145BE7,145BFE,145D24
12E384,12E2D7,12E251
145D5F,145F56,145EBE
12E377,12E3EE,12E375
145DEF,145CD3,145E04
12E3E5,12E3EA,12E5A2
145E99,145CCF,145C9F
12E3D8,12E2B7,12E212
145D51,145DD3,145EBD
12E250,12E2EB,12E466
145F55,146024,145E45
12E568,12E3F2,12E5F0
145EF5,145E86,145E95
12E424,12E574,12E490
145F2A,145ED9,145E1C
12E2BB,12E36D,12E23A
145DA6,145DCD,145CE3
12E3CF,12E43B,12E4BF
145D04,145D3F,145E72
12E301,12E3CA,12E6F1
145E53,145D50,145D9F
12E449,12E39E,12E384
145F75,145F5F,145F9C
12E3D0,12E4BC,12E416
145DB1,145EC7,145EC1
12E445,12E328,12E1EB
145E2A,145CF0,145DAA
12E49E,12E432,12E355
145D79,145D9E,145D95
12E4B7,12E45C,12E427
145DE0,145EF8,145F52
12E3BA,12E511,12E5AF
146028,145E2E,145D2C
12E235,12E413,12E39C
145FD8,145E73,145FBD
12E486,12E4CA,12E532
145DE5,145FFD,145F39
12E76A,12E49A,12E4A5
145E7F,145EB0,145F26
12E464,12E470,12E3A0
146165,145DB1,145EBC
12E5B3,12E43C,12E3C6
145E00,145EAD,145F72
12E1F6,12E23F,12E462
145EA5,1460CB,145E7A
12E240,12E433,12E45D
145C4E,145F41,145EC2
