{'CALIB_RAW_DAC_START_I': 524288, 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_VERSION': '1.0'}
-3BC8,-3C19,-3869
-1B2C8,-1B2A7,-1B203
-3943,-3A76,-39FE
-1B45F,-1B4E5,-1B470
-3902,-3A53,-3A01
-1B294,-1B3D5,-1B384
-3974,-3998,-392E
-1B2F2,-1B35B,-1B41E
-37B1,-37B8,-37F7
-1B373,-1B473,-1B64B
-3A32,-39C8,-3A26
-1B3EB,-1B57B,-1B3E7
-3AA9,-380E,-3AAE
-1B350,-1B12E,-1B34E
-37B8,-38CB,-3AA8
-1B518,-1B330,-1B3EF
-38C0,-3AB7,-39D7
-1B42B,-1B427,-1B42E
-3A28,-39A7,-3A86
-1B392,-1B3B4,-1B2EE
-3A9A,-3A9A,-3892
-1B382,-1B37F,-1B266
-37CE,-37A2,-36A5
-1B272,-1B344,-1B100
-3787,-38E1,-389F
-1B23F,-1B250,-1B36D
-35CA,-3695,-36C4
-1B20C,-1B1CC,-1B017
-37D3,-369E,-3481
-1B084,-1B098,-1B2B7
-389A,-385F,-36B7
-1B0E3,-1B001,-1B13D
-35CA,-36A9,-364E
-1B0B8,-1B23E,-1B16B
-35F0,-359E,-351F
-1B0A3,-1B1BF,-1B0B0
-370E,-34CC,-3615
-1AEFD,-1B106,-1B050
-360C,-3632,-3609
-1AFE4,-1AF2A,-1B04B
-36DE,-36EE,-3624
-19890,-199D3,-19866
-3574,-3667,-3475
-1AF08,-1B061,-1AFF0
-36BA,-348C,-34C7
-1B096,-1B0E4,-1AF18
-3684,-3492,-353E
-1AEC2,-1B1DD,-1AE06
-3568,-3428,-347E
-1AE8A,-1AF3A,-1AF0B
-3330,-34FD,-3413
-1AD46,-1AF30,-1AEE1
-3523,-332D,-32C0
-1AE5F,-1AD12,-1AFA8
-31CB,-3226,-330C
-1ADBB,-1AEE6,-1AD84
-3457,-3340,-32DF
-1AF6A,-1AF81,-1AE56
-344A,-343F,-3340
